Photon Energy [eV],Spectral power [W/eV]
1.000000000000000000e+02,6.308010358234135417e-02
4.204408817635270452e+02,7.878265593905935116e-02
7.408817635270540904e+02,7.826867392350228547e-02
1.061322645290581022e+03,7.432376749923491621e-02
1.381763527054108181e+03,6.942044300780801647e-02
1.702204408817635340e+03,6.440487381089088359e-02
2.022645290581162271e+03,5.961216517263821096e-02
2.343086172344689203e+03,5.517241265122554278e-02
2.663527054108216362e+03,5.112360539557690708e-02
2.983967935871743521e+03,4.746058859594180085e-02
3.304408817635270680e+03,4.415842239765947752e-02
3.624849699398797384e+03,4.118414107294740556e-02
3.945290581162324543e+03,3.850280084892152010e-02
4.265731462925851702e+03,3.608055587333632019e-02
4.586172344689378406e+03,3.388613290568252834e-02
4.906613226452906019e+03,3.189143034593925480e-02
5.227054108216432724e+03,3.007164007363053240e-02
5.547494989979959428e+03,2.840511638857071489e-02
5.867935871743487041e+03,2.687312062471397534e-02
6.188376753507013746e+03,2.545951494446086275e-02
6.508817635270541359e+03,2.415044657389784841e-02
6.829258517034068063e+03,2.293404523543460943e-02
7.149699398797594768e+03,2.180014681769138971e-02
7.470140280561122381e+03,2.074004328445265555e-02
7.790581162324649085e+03,1.974625813794364526e-02
8.111022044088175790e+03,1.881237111818888016e-02
8.431462925851703403e+03,1.793284382494557405e-02
8.751903807615230107e+03,1.710288747237605905e-02
9.072344689378756811e+03,1.631834330263173816e-02
9.392785571142283516e+03,1.557558375867508504e-02
9.713226452905812039e+03,1.487142966481060438e-02
1.003366733466933874e+04,1.420308079426950247e-02
1.035410821643286545e+04,1.356805702330441885e-02
1.067454909819639215e+04,1.296414988076669515e-02
1.099498997995991886e+04,1.238938216269127798e-02
1.131543086172344738e+04,1.184197333795585817e-02
1.163587174348697408e+04,1.132031204950891164e-02
1.195631262525050079e+04,1.082293176341118067e-02
1.227675350701402749e+04,1.034849137441860509e-02
1.259719438877755420e+04,9.895759030757596622e-03
1.291763527054108272e+04,9.463597560005395162e-03
1.323807615230460942e+04,9.050953785527523707e-03
1.355851703406813613e+04,8.656847834048114060e-03
1.387895791583166283e+04,8.280365889700075366e-03
1.419939879759518954e+04,7.920652344471647635e-03
1.451983967935871624e+04,7.576904279972609089e-03
1.484028056112224476e+04,7.248366768129002255e-03
1.516072144288577147e+04,6.934327669908793915e-03
1.548116232464929817e+04,6.634114918093550820e-03
1.580160320641282487e+04,6.347092237759584081e-03
1.612204408817635158e+04,6.072657390603613224e-03
1.644248496993988010e+04,5.810238612623475941e-03
1.676292585170340681e+04,5.559293538716147086e-03
1.708336673346693351e+04,5.319306138413305331e-03
1.740380761523046021e+04,5.089785971684943761e-03
1.772424849699398692e+04,4.870266254039103820e-03
1.804468937875751362e+04,4.660301906990366866e-03
1.836513026052104033e+04,4.459469444472556610e-03
1.868557114228456703e+04,4.267364479471704580e-03
1.900601202404809737e+04,4.083601985660503808e-03
1.932645290581162408e+04,3.907813969751692575e-03
1.964689378757515078e+04,3.739649721196353777e-03
1.996733466933867749e+04,3.578774504211992315e-03
2.028777555110220419e+04,3.424868156262483171e-03
2.060821643286573089e+04,3.277625660872007015e-03
2.092865731462925760e+04,3.136754961627894345e-03
2.124909819639278430e+04,3.001977597054662512e-03
2.156953907815631101e+04,2.873027571543333280e-03
2.188997995991983771e+04,2.749650120754987791e-03
2.221042084168336442e+04,2.631602580575030138e-03
2.253086172344689476e+04,2.518652262953202745e-03
2.285130260521042146e+04,2.410577344211385208e-03
2.317174348697394817e+04,2.307165841955408081e-03
2.349218436873747487e+04,2.208214488706782518e-03
2.381262525050100157e+04,2.113529799230763010e-03
2.413306613226452828e+04,2.022925988736886706e-03
2.445350701402805498e+04,1.936226034093075678e-03
2.477394789579158169e+04,1.853260725702012609e-03
2.509438877755510839e+04,1.773867623307628103e-03
2.541482965931863509e+04,1.697892036532898993e-03
2.573527054108216544e+04,1.625186089933951163e-03
2.605571142284569214e+04,1.555607692905180148e-03
2.637615230460921885e+04,1.489021630056217797e-03
2.669659318637274555e+04,1.425298634712804423e-03
2.701703406813627225e+04,1.364314368370785199e-03
2.733747494989979896e+04,1.305950610131636786e-03
2.765791583166332566e+04,1.250094335042838296e-03
2.797835671342685237e+04,1.196636699113263211e-03
2.829879759519037907e+04,1.145474319249070597e-03
2.861923847695390577e+04,1.096508353364573224e-03
2.893967935871743248e+04,1.049643487006686124e-03
2.926012024048096282e+04,1.004789297600830553e-03
2.958056112224448952e+04,9.618593333834531351e-04
2.990100200400801623e+04,9.207700972603555939e-04
3.022144288577154293e+04,8.814424918398059382e-04
3.054188376753506964e+04,8.438008939342855549e-04
3.086232464929859634e+04,8.077721305534840430e-04
3.118276553106212305e+04,7.732870041315550134e-04
3.150320641282564975e+04,7.402793587776452253e-04
3.182364729458917645e+04,7.086850421995904157e-04
3.214408817635270316e+04,6.784438058553155654e-04
3.246452905811622986e+04,6.494968982121660525e-04
3.278496993987976020e+04,6.217889250699795657e-04
3.310541082164328691e+04,5.952669331380624823e-04
3.342585170340681361e+04,5.698793737396111144e-04
3.374629258517034032e+04,5.455777816304914485e-04
3.406673346693386702e+04,5.223158339657951602e-04
3.438717434869739373e+04,5.000482738855586626e-04
3.470761523046092043e+04,4.787330260156143170e-04
3.502805611222444713e+04,4.583286023693297433e-04
3.534849699398797384e+04,4.387965402069028968e-04
3.566893787575150054e+04,4.200987920104544415e-04
3.598937875751502725e+04,4.022002086885203675e-04
3.630981963927855395e+04,3.850662136428283523e-04
3.663026052104208065e+04,3.686637034202827731e-04
3.695070140280560736e+04,3.529623145759845236e-04
3.727114228456913406e+04,3.379312162231523121e-04
3.759158316633266077e+04,3.235413273436870936e-04
3.791202404809619475e+04,3.097656539980446163e-04
3.823246492985972145e+04,2.965778934208092472e-04
3.855290581162324816e+04,2.839528743306200787e-04
3.887334669338677486e+04,2.718665079468485387e-04
3.919378757515030156e+04,2.602957411457934057e-04
3.951422845691382827e+04,2.492185116617699715e-04
3.983466933867735497e+04,2.386137052427221995e-04
4.015511022044088168e+04,2.284611146740579625e-04
4.047555110220440838e+04,2.187414005882728650e-04
4.079599198396793508e+04,2.094360539816372130e-04
4.111643286573146179e+04,2.005273603627356774e-04
4.143687374749498849e+04,1.919983654610274079e-04
4.175731462925851520e+04,1.838328424267943770e-04
4.207775551102204190e+04,1.760152604569209652e-04
4.239819639278556861e+04,1.685307547838643574e-04
4.271863727454909531e+04,1.613650979679749978e-04
4.303907815631262201e+04,1.545046724359851729e-04
4.335951903807614872e+04,1.479364442110314443e-04
4.367995991983967542e+04,1.416479377820055951e-04
4.400040080160320213e+04,1.356272120623433876e-04
4.432084168336672883e+04,1.298628373905802013e-04
4.464128256513026281e+04,1.243438735271103581e-04
4.496172344689378951e+04,1.190598486036105989e-04
4.528216432865731622e+04,1.140007389835102415e-04
4.560260521042084292e+04,1.091569499937358138e-04
4.592304609218436963e+04,1.045192974897132088e-04
4.624348697394789633e+04,1.000789902172885093e-04
4.656392785571142304e+04,9.582761293683444179e-05
4.688436873747494974e+04,9.175711027633839034e-05
4.720480961923847644e+04,8.785977128173254607e-05
4.752525050100200315e+04,8.412821463412342693e-05
4.784569138276552985e+04,8.055537450491254527e-05
4.816613226452905656e+04,7.713448702107622882e-05
4.848657314629258326e+04,7.385907731409045837e-05
4.880701402805610996e+04,7.072294712715054366e-05
4.912745490981963667e+04,6.772016295644797278e-05
4.944789579158316337e+04,6.484504470332958653e-05
4.976833667334669008e+04,6.209215481517931347e-05
5.008877755511021678e+04,5.945628789383348918e-05
5.040921843687374349e+04,5.693246075126810838e-05
5.072965931863727019e+04,5.451590289318204296e-05
5.105010020040079689e+04,5.220204741194790212e-05
5.137054108216433087e+04,4.998652227121144558e-05
5.169098196392785758e+04,4.786514196519378828e-05
