Photon Energy [eV],Spectral power [W/eV]
1.000000000000000000e+02,7.295379521923560373e-02
4.204408817635270452e+02,9.554278641049053500e-02
7.408817635270540904e+02,9.818143124366471297e-02
1.061322645290581022e+03,9.597672640043308778e-02
1.381763527054108181e+03,9.198800208889829078e-02
1.702204408817635340e+03,8.734839752508351263e-02
2.022645290581162271e+03,8.256794468964682998e-02
2.343086172344689203e+03,7.789435152846903299e-02
2.663527054108216362e+03,7.344840901816973577e-02
2.983967935871743521e+03,6.928444854331972103e-02
3.304408817635270680e+03,6.542050582829428418e-02
3.624849699398797384e+03,6.185453181649740867e-02
3.945290581162324543e+03,5.857354819660284123e-02
4.265731462925851702e+03,5.555898360665144364e-02
4.586172344689378406e+03,5.278983560412993381e-02
4.906613226452906019e+03,5.024454642146902045e-02
5.227054108216432724e+03,4.790209879798181664e-02
5.547494989979959428e+03,4.574263035162278584e-02
5.867935871743487041e+03,4.374774819437313167e-02
6.188376753507013746e+03,4.190065670287334426e-02
6.508817635270541359e+03,4.018617096354466095e-02
6.829258517034068063e+03,3.859066171964648656e-02
7.149699398797594768e+03,3.710196082380784466e-02
7.470140280561122381e+03,3.570924711440507521e-02
7.790581162324649085e+03,3.440292534580077083e-02
8.111022044088175790e+03,3.317450366357018593e-02
8.431462925851703403e+03,3.201647713592070676e-02
8.751903807615230107e+03,3.092222082369542810e-02
9.072344689378756811e+03,2.988588077964844658e-02
9.392785571142283516e+03,2.890228913481391118e-02
9.713226452905812039e+03,2.796688116609703789e-02
1.003366733466933874e+04,2.707562150596867431e-02
1.035410821643286545e+04,2.622493688793227362e-02
1.067454909819639215e+04,2.541165991397549215e-02
1.099498997995991886e+04,2.463297739762179348e-02
1.131543086172344738e+04,2.388638646493988771e-02
1.163587174348697408e+04,2.316965523325599172e-02
1.195631262525050079e+04,2.248078879934677088e-02
1.227675350701402749e+04,2.181799940742193758e-02
1.259719438877755420e+04,2.117968104479357044e-02
1.291763527054108272e+04,2.056438608945196367e-02
1.323807615230460942e+04,1.997080679538388789e-02
1.355851703406813613e+04,1.939775694505642759e-02
1.387895791583166283e+04,1.884415840205761264e-02
1.419939879759518954e+04,1.830902698913468990e-02
1.451983967935871624e+04,1.779146255098697574e-02
1.484028056112224476e+04,1.729063829098927488e-02
1.516072144288577147e+04,1.680579309935905513e-02
1.548116232464929817e+04,1.633622324495171557e-02
1.580160320641282487e+04,1.588127708092043622e-02
1.612204408817635158e+04,1.544034835119645864e-02
1.644248496993988010e+04,1.501287245700354267e-02
1.676292585170340681e+04,1.459832106972986862e-02
1.708336673346693351e+04,1.419619940941544908e-02
1.740380761523046021e+04,1.380604260896622221e-02
1.772424849699398692e+04,1.342741232749480700e-02
1.804468937875751362e+04,1.305989538851012877e-02
1.836513026052104033e+04,1.270310028336759864e-02
1.868557114228456703e+04,1.235665634282068041e-02
1.900601202404809737e+04,1.202021158048925675e-02
1.932645290581162408e+04,1.169343060252725150e-02
1.964689378757515078e+04,1.137599448824456669e-02
1.996733466933867749e+04,1.106759821116345965e-02
2.028777555110220419e+04,1.076795074993184415e-02
2.060821643286573089e+04,1.047677365978123658e-02
2.092865731462925760e+04,1.019379964029417003e-02
2.124909819639278430e+04,9.918772838721582816e-03
2.156953907815631101e+04,9.651447651673712019e-03
2.188997995991983771e+04,9.391587503040161461e-03
2.221042084168336442e+04,9.138965393603643364e-03
2.253086172344689476e+04,8.893362654664517183e-03
2.285130260521042146e+04,8.654568874036696821e-03
2.317174348697394817e+04,8.422380606525076835e-03
2.349218436873747487e+04,8.196602236696331686e-03
2.381262525050100157e+04,7.977045016397983981e-03
2.413306613226452828e+04,7.763526065743990741e-03
2.445350701402805498e+04,7.555869332538016001e-03
2.477394789579158169e+04,7.353904477391853128e-03
2.509438877755510839e+04,7.157467048794195937e-03
2.541482965931863509e+04,6.966397300803772556e-03
2.573527054108216544e+04,6.780541334007148500e-03
2.605571142284569214e+04,6.599749982417139199e-03
2.637615230460921885e+04,6.423879082501339488e-03
2.669659318637274555e+04,6.252788293960042515e-03
2.701703406813627225e+04,6.086342373945284254e-03
2.733747494989979896e+04,5.924410057288634519e-03
2.765791583166332566e+04,5.766864390964934056e-03
2.797835671342685237e+04,5.613581558653672234e-03
2.829879759519037907e+04,5.464442244953861792e-03
2.861923847695390577e+04,5.319330512707051012e-03
2.893967935871743248e+04,5.178134180509515357e-03
2.926012024048096282e+04,5.040743661144208264e-03
2.958056112224448952e+04,4.907053374398792113e-03
2.990100200400801623e+04,4.776960633038039757e-03
3.022144288577154293e+04,4.650365782348440426e-03
3.054188376753506964e+04,4.527172378552707724e-03
3.086232464929859634e+04,4.407285988818045175e-03
3.118276553106212305e+04,4.290615723307349139e-03
3.150320641282564975e+04,4.177073079788636532e-03
3.182364729458917645e+04,4.066572119814946228e-03
3.214408817635270316e+04,3.959029386222557602e-03
3.246452905811622986e+04,3.854364131816351985e-03
3.278496993987976020e+04,3.752497031589593825e-03
3.310541082164328691e+04,3.653351897875095882e-03
3.342585170340681361e+04,3.556854436190669006e-03
3.374629258517034032e+04,3.462932466302623847e-03
3.406673346693386702e+04,3.371515856853332486e-03
3.438717434869739373e+04,3.282536788804667378e-03
3.470761523046092043e+04,3.195928409025891072e-03
3.502805611222444713e+04,3.111626671158531678e-03
3.534849699398797384e+04,3.029569031466707897e-03
3.566893787575150054e+04,2.949694701659536129e-03
3.598937875751502725e+04,2.871944596211527170e-03
3.630981963927855395e+04,2.796261616235070756e-03
3.663026052104208065e+04,2.722589280697596328e-03
3.695070140280560736e+04,2.650873630141646967e-03
3.727114228456913406e+04,2.581061898065360738e-03
3.759158316633266077e+04,2.513102782769599704e-03
3.791202404809619475e+04,2.446946404394393162e-03
3.823246492985972145e+04,2.382544263340916242e-03
3.855290581162324816e+04,2.319849551430536345e-03
3.887334669338677486e+04,2.258815726596273988e-03
3.919378757515030156e+04,2.199398526900168006e-03
3.951422845691382827e+04,2.141554584205343330e-03
3.983466933867735497e+04,2.085241721918590276e-03
4.015511022044088168e+04,2.030418920759263952e-03
4.047555110220440838e+04,1.977046285584262500e-03
4.079599198396793508e+04,1.925085013249254332e-03
4.111643286573146179e+04,1.874497737432143270e-03
4.143687374749498849e+04,1.825247013790278058e-03
4.175731462925851520e+04,1.777297489716524442e-03
4.207775551102204190e+04,1.730614428036701029e-03
4.239819639278556861e+04,1.685164037087695608e-03
4.271863727454909531e+04,1.640913444046836981e-03
4.303907815631262201e+04,1.597830669049180811e-03
4.335951903807614872e+04,1.555884600087879127e-03
4.367995991983967542e+04,1.515044968676997018e-03
4.400040080160320213e+04,1.475282736145918381e-03
4.432084168336672883e+04,1.436568450594679887e-03
4.464128256513026281e+04,1.398874626306101637e-03
4.496172344689378951e+04,1.362174139550526583e-03
4.528216432865731622e+04,1.326440598791046605e-03
4.560260521042084292e+04,1.291648324345957268e-03
4.592304609218436963e+04,1.257772328640782439e-03
4.624348697394789633e+04,1.224788297050030065e-03
4.656392785571142304e+04,1.192672569285340095e-03
4.688436873747494974e+04,1.161402559257066185e-03
4.720480961923847644e+04,1.130955005422821374e-03
4.752525050100200315e+04,1.101308523265014496e-03
4.784569138276552985e+04,1.072441894323485209e-03
4.816613226452905656e+04,1.044334469193930730e-03
4.848657314629258326e+04,1.016966151914624333e-03
4.880701402805610996e+04,9.903173848037638300e-04
4.912745490981963667e+04,9.643691337154698716e-04
4.944789579158316337e+04,9.391028737301304911e-04
4.976833667334669008e+04,9.145010414733128123e-04
5.008877755511021678e+04,8.905451763624723342e-04
5.040921843687374349e+04,8.672186465779312819e-04
5.072965931863727019e+04,8.445048289260800563e-04
5.105010020040079689e+04,8.223875437235142905e-04
5.137054108216433087e+04,8.008510427411428666e-04
5.169098196392785758e+04,7.798799974908441875e-04
5.201142284569138428e+04,7.594594878432266247e-04
5.233186372745491099e+04,7.395754747606138714e-04
5.265230460921843769e+04,7.202128736959005888e-04
5.297274549098196439e+04,7.013583895514923167e-04
5.329318637274549110e+04,6.829986280249207868e-04
5.361362725450901780e+04,6.651205508400819368e-04
5.393406813627254451e+04,6.477114661395117889e-04
5.425450901803607121e+04,6.307590191358004167e-04
5.457494989979959792e+04,6.142516816940363006e-04
5.489539078156312462e+04,5.981767679839848509e-04
5.521583166332665132e+04,5.825233611520216383e-04
5.553627254509017803e+04,5.672803663768509258e-04
5.585671342685370473e+04,5.524369829376943536e-04
5.617715430861723144e+04,5.379826963150878376e-04
5.649759519038075814e+04,5.239077862820595323e-04
5.681803607214428484e+04,5.102012754361135360e-04
5.713847695390781155e+04,4.968539599446327977e-04
5.745891783567133825e+04,4.838563953877135200e-04
5.777935871743486496e+04,4.711993871932349930e-04
5.809979959919839166e+04,4.588745204449775988e-04
5.842024048096192564e+04,4.468720267286348355e-04
5.874068136272545235e+04,4.351839394457749808e-04
5.906112224448897905e+04,4.238025387007239814e-04
5.938156312625250575e+04,4.127187209798527661e-04
5.970200400801603246e+04,4.019257217142198249e-04
6.002244488977955916e+04,3.914148505126880317e-04
6.034288577154308587e+04,3.811800494098491567e-04
6.066332665330661257e+04,3.712124438923998298e-04
6.098376753507013927e+04,3.615058094832148089e-04
6.130420841683366598e+04,3.520532965629198500e-04
6.162464929859719268e+04,3.428482361301564787e-04
6.194509018036071939e+04,3.338841349979484790e-04
6.226553106212424609e+04,3.251546711198191933e-04
6.258597194388777280e+04,3.166536890420529804e-04
6.290641282565129950e+04,3.083751954786079111e-04
6.322685370741482620e+04,3.003133550052777476e-04
6.354729458917835291e+04,2.924624858698115126e-04
6.386773547094187961e+04,2.848170559147829837e-04
6.418817635270540632e+04,2.773716786101034382e-04
6.450861723446893302e+04,2.701211091921574972e-04
6.482905811623245972e+04,2.630602409066258303e-04
6.514949899799599370e+04,2.561841013521473902e-04
6.546993987975952041e+04,2.494878489220539691e-04
6.579038076152304711e+04,2.429667693414854065e-04
6.611082164328657382e+04,2.366162722972743680e-04
6.643126252505010052e+04,2.304318881580639025e-04
6.675170340681362723e+04,2.244092647821905164e-04
6.707214428857715393e+04,2.185441644109354276e-04
6.739258517034068063e+04,2.128324606448175763e-04
6.771302605210420734e+04,2.072701355006657136e-04
6.803346693386773404e+04,2.018532765472677722e-04
6.835390781563126075e+04,1.965780741174641335e-04
6.867434869739478745e+04,1.914408185946052648e-04
6.899478957915831415e+04,1.864378977713553758e-04
6.931523046092184086e+04,1.815657942788804742e-04
6.963567134268536756e+04,1.768210830845126245e-04
6.995611222444889427e+04,1.722004290560357202e-04
7.027655310621242097e+04,1.677005845907923157e-04
7.059699398797594768e+04,1.633183873078563025e-04
7.091743486973947438e+04,1.590507578015696948e-04
7.123787575150300108e+04,1.548946974547865630e-04
7.155831663326652779e+04,1.508472863102134536e-04
7.187875751503005449e+04,1.469056809982803536e-04
7.219919839679358120e+04,1.430671127200199813e-04
7.251963927855710790e+04,1.393288852834745708e-04
7.284008016032063460e+04,1.356883731921900609e-04
