Photon Energy [eV],Flux [photons/s/0.1%bw]
1.000000000000000000e+02,4.457178414067161250e+14
4.204408817635270452e+02,5.791800551277923750e+14
7.408817635270540904e+02,5.919687688970687500e+14
1.061322645290581022e+03,5.759748130491983750e+14
1.381763527054108181e+03,5.497108047516611250e+14
1.702204408817635340e+03,5.199670665476800625e+14
2.022645290581162271e+03,4.897545767410252500e+14
2.343086172344689203e+03,4.605020273439236250e+14
2.663527054108216362e+03,4.328789040004023750e+14
2.983967935871743521e+03,4.071618593157381875e+14
3.304408817635270680e+03,3.834166588473211250e+14
3.624849699398797384e+03,3.615953031470299375e+14
3.945290581162324543e+03,3.415903739777173750e+14
4.265731462925851702e+03,3.232663066875092500e+14
4.586172344689378406e+03,3.064775916124986250e+14
4.906613226452906019e+03,2.910793082974759375e+14
5.227054108216432724e+03,2.769330482676485312e+14
5.547494989979959428e+03,2.639100301860174375e+14
5.867935871743487041e+03,2.518924929989037188e+14
6.188376753507013746e+03,2.407740467972376250e+14
6.508817635270541359e+03,2.304594014728186250e+14
6.829258517034068063e+03,2.208637422682723750e+14
7.149699398797594768e+03,2.119119223276092500e+14
7.470140280561122381e+03,2.035375822120623750e+14
7.790581162324649085e+03,1.956822526334286875e+14
8.111022044088175790e+03,1.882944989748029375e+14
8.431462925851703403e+03,1.813291241823065312e+14
8.751903807615230107e+03,1.747463980746323750e+14
9.072344689378756811e+03,1.685113933725966562e+14
9.392785571142283516e+03,1.625934090396428125e+14
9.713226452905812039e+03,1.569654197003815312e+14
1.003366733466933874e+04,1.516036017155617188e+14
1.035410821643286545e+04,1.464869153595070000e+14
1.067454909819639215e+04,1.415967462226845000e+14
1.099498997995991886e+04,1.369165879135767031e+14
1.131543086172344738e+04,1.324317623641650625e+14
1.163587174348697408e+04,1.281291883683296406e+14
1.195631262525050079e+04,1.239971632520477031e+14
1.227675350701402749e+04,1.200251931211757969e+14
1.259719438877755420e+04,1.162038281063566562e+14
1.291763527054108272e+04,1.125245408129205156e+14
1.323807615230460942e+04,1.089795983017146406e+14
1.355851703406813613e+04,1.055619700450893750e+14
1.387895791583166283e+04,1.022652354074911406e+14
1.419939879759518954e+04,9.908351546910279688e+13
1.451983967935871624e+04,9.601140215973598438e+13
1.484028056112224476e+04,9.304390931056514062e+13
1.516072144288577147e+04,9.017641780580939062e+13
1.548116232464929817e+04,8.740464089723601562e+13
1.580160320641282487e+04,8.472458118505210938e+13
1.612204408817635158e+04,8.213250648242698438e+13
1.644248496993988010e+04,7.962491553660928125e+13
1.676292585170340681e+04,7.719852167630621875e+13
1.708336673346693351e+04,7.485022500981751562e+13
1.740380761523046021e+04,7.257710082482187500e+13
1.772424849699398692e+04,7.037638146845143750e+13
1.804468937875751362e+04,6.824543923939729688e+13
1.836513026052104033e+04,6.618178155730395312e+13
1.868557114228456703e+04,6.418303216815423438e+13
1.900601202404809737e+04,6.224692881097934375e+13
1.932645290581162408e+04,6.037131212615666406e+13
1.964689378757515078e+04,5.855411468082445312e+13
1.996733466933867749e+04,5.679336102100763281e+13
2.028777555110220419e+04,5.508715872483735938e+13
2.060821643286573089e+04,5.343368930046714062e+13
2.092865731462925760e+04,5.183121174299785938e+13
2.124909819639278430e+04,5.027804895622949219e+13
2.156953907815631101e+04,4.877259179785623438e+13
2.188997995991983771e+04,4.731329235085036719e+13
2.221042084168336442e+04,4.589865691579010938e+13
2.253086172344689476e+04,4.452725016303492188e+13
2.285130260521042146e+04,4.319768777807446094e+13
2.317174348697394817e+04,4.190863648451400781e+13
2.349218436873747487e+04,4.065880625861242188e+13
2.381262525050100157e+04,3.944695619135632031e+13
2.413306613226452828e+04,3.827188867250882031e+13
2.445350701402805498e+04,3.713244327496293750e+13
2.477394789579158169e+04,3.602750311937710156e+13
2.509438877755510839e+04,3.495598794038238672e+13
2.541482965931863509e+04,3.391685537260860938e+13
2.573527054108216544e+04,3.290909351220916797e+13
2.605571142284569214e+04,3.193172834543373438e+13
2.637615230460921885e+04,3.098381820601978906e+13
2.669659318637274555e+04,3.006444807347268359e+13
2.701703406813627225e+04,2.917273706185331250e+13
2.733747494989979896e+04,2.830783165440430859e+13
2.765791583166332566e+04,2.746890760747040625e+13
2.797835671342685237e+04,2.665516279190446875e+13
2.829879759519037907e+04,2.586582529519187500e+13
2.861923847695390577e+04,2.510014657674398828e+13
2.893967935871743248e+04,2.435740204940745312e+13
2.926012024048096282e+04,2.363689196970258984e+13
2.958056112224448952e+04,2.293793385253339453e+13
2.990100200400801623e+04,2.225987169768596484e+13
3.022144288577154293e+04,2.160206870437011719e+13
3.054188376753506964e+04,2.096390990817801953e+13
3.086232464929859634e+04,2.034479468069683594e+13
3.118276553106212305e+04,1.974414613418586719e+13
3.150320641282564975e+04,1.916140389895262891e+13
3.182364729458917645e+04,1.859602514111607031e+13
3.214408817635270316e+04,1.804748580932270703e+13
