Photon Energy [eV],Spectral power [W/eV]
1.000000000000000000e+02,6.857272006389847352e-02
4.204408817635270452e+02,8.797409631038516364e-02
7.408817635270540904e+02,8.910208227466534514e-02
1.061322645290581022e+03,8.601672050827920135e-02
1.381763527054108181e+03,8.152020531738640718e-02
1.702204408817635340e+03,7.662103957623865591e-02
2.022645290581162271e+03,7.175322695168945275e-02
2.343086172344689203e+03,6.711291229230786914e-02
2.663527054108216362e+03,6.278403652775539634e-02
2.983967935871743521e+03,5.879391541128206611e-02
3.304408817635270680e+03,5.514056977781710972e-02
3.624849699398797384e+03,5.180710619106483616e-02
3.945290581162324543e+03,4.876960250117239049e-02
4.265731462925851702e+03,4.600151804163999519e-02
4.586172344689378406e+03,4.347615968731281810e-02
4.906613226452906019e+03,4.116802448084522226e-02
5.227054108216432724e+03,3.905348197206417321e-02
5.547494989979959428e+03,3.711106537770869629e-02
5.867935871743487041e+03,3.532153397927613458e-02
6.188376753507013746e+03,3.366780369811477047e-02
6.508817635270541359e+03,3.213480594215728514e-02
6.829258517034068063e+03,3.070931329792768102e-02
7.149699398797594768e+03,2.937975250279795461e-02
7.470140280561122381e+03,2.813601991891844997e-02
7.790581162324649085e+03,2.696930632012696158e-02
8.111022044088175790e+03,2.587193822424042888e-02
8.431462925851703403e+03,2.483722196879737873e-02
8.751903807615230107e+03,2.385932167935240350e-02
9.072344689378756811e+03,2.293314437305842002e-02
9.392785571142283516e+03,2.205423472565830670e-02
9.713226452905812039e+03,2.121868786044884062e-02
1.003366733466933874e+04,2.042307366851971173e-02
1.035410821643286545e+04,1.966436987627450880e-02
1.067454909819639215e+04,1.893990464779253535e-02
1.099498997995991886e+04,1.824730966766972481e-02
1.131543086172344738e+04,1.758447642638440514e-02
1.163587174348697408e+04,1.694952117736829578e-02
1.195631262525050079e+04,1.634075354500318447e-02
1.227675350701402749e+04,1.575665112039884713e-02
1.259719438877755420e+04,1.519583620754451012e-02
1.291763527054108272e+04,1.465705760056870526e-02
1.323807615230460942e+04,1.413917333924421919e-02
1.355851703406813613e+04,1.364113773673756094e-02
1.387895791583166283e+04,1.316198849144740134e-02
1.419939879759518954e+04,1.270083753414078150e-02
1.451983967935871624e+04,1.225686128274936990e-02
1.484028056112224476e+04,1.182929425878861095e-02
1.516072144288577147e+04,1.141742160339638372e-02
1.548116232464929817e+04,1.102057469756324848e-02
1.580160320641282487e+04,1.063812530376110829e-02
1.612204408817635158e+04,1.026948263425105611e-02
1.644248496993988010e+04,9.914088663067817386e-03
1.676292585170340681e+04,9.571416239676810642e-03
1.708336673346693351e+04,9.240965247211596970e-03
1.740380761523046021e+04,8.922261469673035614e-03
1.772424849699398692e+04,8.614853366863633663e-03
1.804468937875751362e+04,8.318311325172036974e-03
1.836513026052104033e+04,8.032225678638897290e-03
1.868557114228456703e+04,7.756204766998225399e-03
1.900601202404809737e+04,7.489874871190033839e-03
1.932645290581162408e+04,7.232877777260273908e-03
1.964689378757515078e+04,6.984870928418949153e-03
1.996733466933867749e+04,6.745526076107015608e-03
2.028777555110220419e+04,6.514527889920868758e-03
2.060821643286573089e+04,6.291574294721796745e-03
2.092865731462925760e+04,6.076375301257055071e-03
2.124909819639278430e+04,5.868651773496489851e-03
2.156953907815631101e+04,5.668136011267278611e-03
2.188997995991983771e+04,5.474570690259954880e-03
2.221042084168336442e+04,5.287707729958179836e-03
2.253086172344689476e+04,5.107309055700021833e-03
2.285130260521042146e+04,4.933145607240735017e-03
2.317174348697394817e+04,4.764996274904960416e-03
2.349218436873747487e+04,4.602648793871102519e-03
2.381262525050100157e+04,4.445898798303061887e-03
2.413306613226452828e+04,4.294548808102235764e-03
2.445350701402805498e+04,4.148409219629221531e-03
2.477394789579158169e+04,4.007297393262527520e-03
2.509438877755510839e+04,3.871036682002293623e-03
2.541482965931863509e+04,3.739457489931543102e-03
2.573527054108216544e+04,3.612396156602057633e-03
2.605571142284569214e+04,3.489695179436793672e-03
2.637615230460921885e+04,3.371202004938580587e-03
2.669659318637274555e+04,3.256770251945134437e-03
2.701703406813627225e+04,3.146258809111309070e-03
2.733747494989979896e+04,3.039530894556010353e-03
2.765791583166332566e+04,2.936455295900312207e-03
2.797835671342685237e+04,2.836905251914039350e-03
2.829879759519037907e+04,2.740758769382658101e-03
2.861923847695390577e+04,2.647897427551556843e-03
2.893967935871743248e+04,2.558207731283090782e-03
