Photon Energy [eV],Flux [photons/s/0.1%bw]
1.000000000000000000e+02,3.613719632018375000e+14
4.204408817635270452e+02,4.386399417973263125e+14
7.408817635270540904e+02,4.268582729712176250e+14
1.061322645290581022e+03,3.983218705914601875e+14
1.381763527054108181e+03,3.664176182580429375e+14
1.702204408817635340e+03,3.354064969318390625e+14
2.022645290581162271e+03,3.067656443924088750e+14
2.343086172344689203e+03,2.809087528256503438e+14
2.663527054108216362e+03,2.578077250640343125e+14
2.983967935871743521e+03,2.372533716617437812e+14
3.304408817635270680e+03,2.189735696145249375e+14
3.624849699398797384e+03,2.026882970050212188e+14
3.945290581162324543e+03,1.881346491340850312e+14
4.265731462925851702e+03,1.750769923378486250e+14
4.586172344689378406e+03,1.633096865258528438e+14
4.906613226452906019e+03,1.526561617443655625e+14
5.227054108216432724e+03,1.429663384145744062e+14
5.547494989979959428e+03,1.341134361650601562e+14
5.867935871743487041e+03,1.259907223272198438e+14
6.188376753507013746e+03,1.185084533133418594e+14
6.508817635270541359e+03,1.115911630898371406e+14
6.829258517034068063e+03,1.051752430800155938e+14
7.149699398797594768e+03,9.920693377340098438e+13
7.470140280561122381e+03,9.364066283545893750e+13
7.790581162324649085e+03,8.843757326684571875e+13
8.111022044088175790e+03,8.356436286644221875e+13
8.431462925851703403e+03,7.899231758334825000e+13
8.751903807615230107e+03,7.469651502058456250e+13
9.072344689378756811e+03,7.065517747150896875e+13
9.392785571142283516e+03,6.684914152381028906e+13
9.713226452905812039e+03,6.326142865593320312e+13
1.003366733466933874e+04,5.987689062560739844e+13
1.035410821643286545e+04,5.668192459360367188e+13
1.067454909819639215e+04,5.366424129086041406e+13
1.099498997995991886e+04,5.081267068127114062e+13
1.131543086172344738e+04,4.811700745250239062e+13
1.163587174348697408e+04,4.556788460624813281e+13
1.195631262525050079e+04,4.315666387931271094e+13
1.227675350701402749e+04,4.087535010646959375e+13
1.259719438877755420e+04,3.871652037966198438e+13
1.291763527054108272e+04,3.667325829083264062e+13
1.323807615230460942e+04,3.473910828737232031e+13
1.355851703406813613e+04,3.290802691894904688e+13
1.387895791583166283e+04,3.117434793344148047e+13
1.419939879759518954e+04,2.953275250613164844e+13
1.451983967935871624e+04,2.797823599097300000e+13
1.484028056112224476e+04,2.650609003198901953e+13
1.516072144288577147e+04,2.511187529447125391e+13
1.548116232464929817e+04,2.379140500212103906e+13
1.580160320641282487e+04,2.254073031338316797e+13
1.612204408817635158e+04,2.135611905111502734e+13
1.644248496993988010e+04,2.023404868399940625e+13
1.676292585170340681e+04,1.917118647210423047e+13
1.708336673346693351e+04,1.816438514270407812e+13
1.740380761523046021e+04,1.721066460648311328e+13
