z [mm]	By meas [T]	By sim [T]
-670.	-0.0001930009647983069	-0.0002691969564729129
-669.	-0.0001986664115534588	-0.0002710092130254933
-668.	-0.0002042004006664519	-0.0002728361398075981
-667.	-0.000213226782678442	-0.0002746778733344305
-666.	-0.0002011326111078059	-0.000276534552126287
-665.	-0.0002039737111253006	-0.0002784063159411843
-664.	-0.0002052688728734791	-0.0002802933057974787
-663.	-0.0002148746086302156	-0.0002821956643802099
-662.	-0.000211312396246653	-0.0002841135360573453
-661.	-0.0002110666065763103	-0.0002860470662962103
-660.	-0.0002186771031545181	-0.0002879964022846396
-659.	-0.0002237803889698662	-0.0002899616929705537
-658.	-0.0002279359674726302	-0.0002919430883453242
-657.	-0.0002146201521215225	-0.0002939407404262593
-656.	-0.0002321381264863142	-0.0002959548028355236
-655.	-0.0002313656892934907	-0.0002979854303972316
-654.	-0.0002286126867942883	-0.0003000327799417671
-653.	-0.0002298508925433321	-0.0003020970098464302
-652.	-0.0002242007599375237	-0.0003041782801969077
-651.	-0.0002274730268411452	-0.0003062767526376642
-650.	-0.0002345675557889067	-0.0003083925906366112
-649.	-0.0002387982484119834	-0.0003105259593125338
-648.	-0.0002307234301087696	-0.0003126770256169604
-647.	-0.0002506562056207313	-0.000314845958382808
-646.	-0.0002520223573068246	-0.000317032927817881
-645.	-0.0002502336703859414	-0.0003192381063446703
-644.	-0.0002453223969660229	-0.0003214616679928525
-643.	-0.000246499178284966	-0.0003237037887714875
-642.	-0.0002555221858893275	-0.000325964646483173
-641.	-0.0002606681404379204	-0.0003282444208944874
-640.	-0.0002588685649309563	-0.0003305432935326469
-639.	-0.0002599356640138581	-0.0003328614480773739
-638.	-0.000267524405424416	-0.000335199069931835
-637.	-0.0002647890341833831	-0.0003375563467618549
-636.	-0.0002565206830106011	-0.0003399334680387244
-635.	-0.000263044081678475	-0.0003423306250730581
-634.	-0.0002720711055402858	-0.0003447480116934128
-633.	-0.0002684919391969973	-0.0003471858234790447
-632.	-0.0002656851890275235	-0.0003496442582188054
-631.	-0.0002680300330998765	-0.0003521235157034007
-630.	-0.0002734376911710771	-0.0003546237980733146
-629.	-0.0002876459552078907	-0.0003571453093499141
-628.	-0.000292395231667222	-0.0003596882559786375
-627.	-0.0002930152980368118	-0.0003622528465779955
-626.	-0.0002982240832632101	-0.0003648392920335255
-625.	-0.0002949580762576028	-0.0003674478053595133
-624.0000000000001	-0.000285289252809025	-0.000370078602023138
-623.	-0.0002950659067615836	-0.0003727318998986256
-622.0000000000001	-0.0002952914159328719	-0.000375407918707807
-621.	-0.0002980848994929747	-0.0003781068812289343
-620.0000000000001	-0.0003013304219554953	-0.0003808290122040349
-619.	-0.0003063693333875261	-0.0003835745388979148
-618.0000000000001	-0.00030611158873885	-0.0003863436911809545
-617.	-0.0003085362616351857	-0.000389136701178824
-616.0000000000001	-0.0003098133037822351	-0.0003919538036906094
-615.	-0.0003273196245992801	-0.0003947952360055555
-614.0000000000001	-0.0003198454732455491	-0.0003976612379879982
-613.	-0.0003193370385906342	-0.0004005520520794264
-612.0000000000001	-0.0003186988215618426	-0.0004034679234624784
-611.	-0.0003250169670047317	-0.0004064090999085984
-610.0000000000001	-0.0003325117530873339	-0.0004093758319032948
-609.	-0.0003366144713409965	-0.0004123683725459741
-608.0000000000001	-0.0003431862924183415	-0.0004153869777985759
-607.	-0.0003354641328362012	-0.0004184319065653784
-606.0000000000001	-0.0003527369224549632	-0.0004215034200805223
-605.	-0.0003535354154742598	-0.0004246017830230973
-604.0000000000001	-0.0003443061559650486	-0.0004277272626814524
-603.	-0.0003522844522555836	-0.0004308801291295611
-602.0000000000001	-0.0003656249341044876	-0.0004340606556131041
-601.	-0.0003579953469237413	-0.0004372691182496918
-600.0000000000001	-0.0003597294242643437	-0.0004405057961180033
-599.	-0.0003657730471558455	-0.0004437709715912747
-598.0000000000001	-0.0003619311299331672	-0.0004470649299167753
-597.	-0.0003635258350609887	-0.0004503879593754026
-596.0000000000001	-0.0003765205512513828	-0.0004537403518598457
-595.	-0.0003760855200522967	-0.0004571224018660814
-594.0000000000001	-0.000379919571836256	-0.0004605344075749606
-593.	-0.0003898718730349839	-0.0004639766701611324
-592.0000000000001	-0.0003831380917553811	-0.0004674494943045802
-591.0000000000001	-0.0003793272847728493	-0.0004709531879984368
-590.0000000000001	-0.0003901544598408225	-0.0004744880623531615
-589.0000000000001	-0.0003995324210700104	-0.0004780544322361884
-588.0000000000001	-0.0003999360125206994	-0.000481652615834888
-587.0000000000001	-0.0004052633912746249	-0.0004852829347306282
-586.0000000000001	-0.0004132457116540251	-0.0004889457143127345
-585.0000000000001	-0.0004003085151083609	-0.0004926412832634138
-584.0000000000001	-0.0004169056615773281	-0.0004963699739878195
-583.0000000000001	-0.0004208035033405589	-0.0005001321227550838
-582.0000000000001	-0.0004261695840848677	-0.0005039280691173619
-581.0000000000001	-0.0004286927330148774	-0.0005077581566790796
-580.0000000000001	-0.0004180617511565553	-0.0005116227327550339
-579.0000000000001	-0.0004368800713277596	-0.0005155221485918284
-578.0000000000001	-0.0004425304080856161	-0.0005194567589950209
-577.0000000000001	-0.000445541895857635	-0.0005234269229021919
-576.0000000000001	-0.000453258325279557	-0.0005274330033281894
-575.0000000000001	-0.000451670840066851	-0.0005314753670692425
-574.0000000000001	-0.0004624958913714111	-0.0005355543850423627
-573.0000000000001	-0.0004600259692817432	-0.0005396704322377342
-572.0000000000001	-0.0004654511152287866	-0.0005438238878851848
-571.0000000000001	-0.0004673508915261975	-0.0005480151351254999
-570.0000000000001	-0.0004670028182626845	-0.0005522445616788535
-569.0000000000001	-0.0004720262894333691	-0.0005565125593948696
-568.0000000000001	-0.0004788255838849732	-0.00056081952437682
-567.0000000000001	-0.0004779259897170916	-0.0005651658571771782
-566.0000000000001	-0.0004864904760174037	-0.0005695519627369743
-565.0000000000001	-0.0004901618201539467	-0.0005739782505189497
-564.	-0.0005014651978574253	-0.0005784451343840425
-563.	-0.000507507831216103	-0.0005829530328215671
-562.	-0.0005092574318790918	-0.0005875023691862585
-561.	-0.0005154325604745689	-0.0005920935709331175
-560.	-0.0005207346285291447	-0.0005967270708616207
-559.	-0.0005236265254322184	-0.0006014033060630637
-558.	-0.0005220409929623628	-0.0006061227187959107
-557.	-0.0005287653899115589	-0.0006108857559073806
-556.	-0.0005359148529893255	-0.0006156928694018413
-555.	-0.0005317537385878066	-0.0006205445160556686
-554.	-0.0005396038473716503	-0.0006254411579655657
-553.	-0.0005416865740787323	-0.0006303832619769417
-552.	-0.0005477225755131293	-0.0006353713003553939
-551.	-0.0005499169993435802	-0.0006404057503968477
-550.	-0.000576385099070374	-0.0006454870946776328
-549.	-0.0005733334429880066	-0.0006506158211397459
-548.	-0.0005768747877213977	-0.0006557924231222699
-547.	-0.0005828846071522175	-0.0006610173991469401
-546.	-0.0005800047993195781	-0.0006662912536815471
-545.	-0.0005886849503397619	-0.0006716144960377001
-544.	-0.0006015791916053771	-0.0006769876418749546
-543.	-0.000598586581653673	-0.0006824112119541562
-542.	-0.0006022987283168327	-0.0006878857329944189
-541.	-0.0006044132288658179	-0.000693411737399472
-540.	-0.0006127166272737427	-0.0006989897634436662
-539.	-0.0006200586386688476	-0.0007046203553411013
-538.	-0.0006339027746785761	-0.0007103040630350122
-537.	-0.0006365130821929279	-0.0007160414426329048
-536.	-0.0006358903626752652	-0.0007218330564323719
-535.	-0.0006396603561139145	-0.0007276794725144923
-534.	-0.0006458472397952218	-0.0007335812655706599
-533.	-0.0006582216875386172	-0.0007395390160715123
-532.	-0.000652682854379233	-0.0007455533113243861
-531.	-0.0006559428891701745	-0.0007516247445359438
-530.	-0.0006683519865228216	-0.0007577539156272935
-529.	-0.0006822369020313879	-0.0007639414307678013
-528.	-0.0006793375927626782	-0.0007701879031825381
-527.	-0.0006866286192742741	-0.0007764939520940828
-526.	-0.0006966873280298509	-0.0007828602038008085
-525.	-0.0007039187462649343	-0.0007892872912624757
-524.	-0.0007041886176688105	-0.0007957758541782746
-523.	-0.0007184469093467202	-0.0008023265392783384
-522.	-0.0007147750950178677	-0.0008089400000458568
-521.	-0.0007291726323259135	-0.0008156168969091597
-520.	-0.00073725156345316	-0.0008223578976999052
-519.	-0.0007440145339463634	-0.0008291636770561851
-518.	-0.0007508136371843019	-0.000836034916999486
-517.	-0.0007629048865735886	-0.0008429723065134682
-516.	-0.0007599049190203574	-0.0008499765424138021
-515.	-0.0007629176066156182	-0.0008570483281461263
-514.	-0.0007870372425384085	-0.0008641883754900386
-513.	-0.0007921268166133973	-0.0008713974028613526
-512.	-0.0007974918969554036	-0.000878676136884398
-511.0000000000001	-0.0008097534729667142	-0.0008860253114552872
-510.	-0.0008171604452307699	-0.0008934456682474237
-509.0000000000001	-0.0008119994609102737	-0.0009009379566808275
-508.	-0.0008176787625506829	-0.0009085029340318631
-507.0000000000001	-0.0008271769115575998	-0.0009161413655218562
-506.	-0.0008413194076485301	-0.0009238540239263263
-505.0000000000001	-0.0008408154852270354	-0.0009316416904905245
-504.	-0.0008587799668763973	-0.0009395051541344877
-503.0000000000001	-0.0008664101129823858	-0.0009474452121541682
-502.	-0.0008774288917017297	-0.0009554626697536661
-501.0000000000001	-0.0008773422443270968	-0.0009635583405623393
-500.	-0.0008859340652904482	-0.0009717330463264989
-499.	-0.0008908024459050241	-0.0009799876172720922
-498.	-0.0009015913350208627	-0.0009883228918414214
-497.	-0.0009085103931224976	-0.0009967397170230541
-496.	-0.0009190009661266678	-0.001005238948232614
-495.	-0.0009323628610463971	-0.001013821449457587
-494.	-0.0009423055037393571	-0.001022488093261049
-493.	-0.0009522970514713984	-0.001031239760738928
-492.	-0.0009552051825952775	-0.001040077341790063
-491.	-0.0009674504998840151	-0.001049001735024323
-490.	-0.0009770822382401637	-0.0010580138476757
-489.	-0.0009771218467507208	-0.001067114595878816
-488.	-0.0009841569830479678	-0.001076304904662081
-487.	-0.000991911670607633	-0.001085585707831032
-486.	-0.001004904652243839	-0.001094957948162828
-485.	-0.001009317352311986	-0.001104422577262378
-484.	-0.001024357896478256	-0.001113980555856399
-483.	-0.001034660792081466	-0.00112363285365311
-482.	-0.001035106139033175	-0.001133380449234869
-481.	-0.001051483158802878	-0.001143224330416411
-480.	-0.001059383952619036	-0.001153165493988002
-479.	-0.001070600525209332	-0.00116320494583844
-478.	-0.001073271516585361	-0.001173343700887757
-477.	-0.001093229707852484	-0.001183582783293601
-476.	-0.001096502209936206	-0.001193923226140446
-475.	-0.001114752718917519	-0.001204366071887064
-474.	-0.001116879400684828	-0.001214912371816168
-473.	-0.001126337107544945	-0.001225563186491408
-472.	-0.00114325071993407	-0.001236319585546007
-471.	-0.001142923484069951	-0.001247182647603689
-470.	-0.001159658833863173	-0.001258153460438952
-469.	-0.001172599665476691	-0.001269233120831689
-468.	-0.001182924155154378	-0.001280422734605705
-467.	-0.001208074688491603	-0.001291723416475329
-466.	-0.001221706458400292	-0.001303136290161058
-465.	-0.00122429635344138	-0.001314662488171298
-464.	-0.001237627740553825	-0.001326303151990384
-463.	-0.001249284089297726	-0.0013380594316745
-462.	-0.001257081652255681	-0.001349932486170808
-461.	-0.001280651777632085	-0.001361923482943735
-460.	-0.001280270072912132	-0.001374033598078889
-459.	-0.001282239364513059	-0.001386264016037569
-458.	-0.001299263767305614	-0.00139861592970997
-457.	-0.001311387997512338	-0.001411090540191062
-456.	-0.001324183969125468	-0.001423689056829183
-455.	-0.001350269778398647	-0.001436412696833814
-454.	-0.001354851135975386	-0.001449262685452861
-453.	-0.001362004602861324	-0.001462240255497578
-452.	-0.001375057665225166	-0.001475346647659179
-451.	-0.001390817934793296	-0.001488583109730393
-450.	-0.001407766824685196	-0.001501950896953682
-449.	-0.001414972985249576	-0.001515451271682483
-448.	-0.001434535496702203	-0.001529085502833281
-447.	-0.001437680829323605	-0.001542854866414484
-446.	-0.001457101464279539	-0.00155676064454388
-445.	-0.001478260002518146	-0.001570804125575002
-444.	-0.001484838680811431	-0.001584986603853342
-443.	-0.00149592188835922	-0.001599309379401614
-442.	-0.001502731973082318	-0.001613773757566665
-441.	-0.0015136746460016	-0.00162838104884474
-440.	-0.001532393020898438	-0.001643132568365637
-439.	-0.001551603784344436	-0.001658029635792901
-438.	-0.001567249439507867	-0.001673073574879115
-437.	-0.001582816981691857	-0.001688265712936519
-436.	-0.001592131354560416	-0.001703607380663051
-435.	-0.001608073210043731	-0.001719099911682764
-434.	-0.001624149683354326	-0.001734744641998867
-433.	-0.001644534629226744	-0.001750542909643626
-432.	-0.001661021693963951	-0.001766496054075476
-431.	-0.001675105495426157	-0.001782605415937579
-430.	-0.00169590451746154	-0.001798872336112125
-429.	-0.001707306606252089	-0.001815298155591821
-428.	-0.001725035999133623	-0.00183188421460226
-427.	-0.001733114018356083	-0.00184863185204418
-426.	-0.001750974064528443	-0.001865542404915283
-425.	-0.001772466605538907	-0.001882617207705321
-424.	-0.001792819906055331	-0.001899857591522773
-423.	-0.001808015609900246	-0.001917264883369554
-422.	-0.001822398329705417	-0.001934840405538693
-421.	-0.001841216847006069	-0.001952585474559821
-420.	-0.001850310340499105	-0.001970501400610536
-419.	-0.001873033832543548	-0.001988589486412947
-418.	-0.001889625903492817	-0.00200685102651058
-417.	-0.00191242668586918	-0.002025287306018679
-416.	-0.001927356739877499	-0.002043899599952546
-415.	-0.001945739663559613	-0.002062689171988717
-414.	-0.001962845367892082	-0.002081657273243762
-413.	-0.00197337586426336	-0.002100805141448213
-412.	-0.002000133098423795	-0.002120133999467691
-411.	-0.00201308511671997	-0.002139645054110106
-410.	-0.002034404186698057	-0.002159339494978024
-409.	-0.002052379431351735	-0.002179218492895857
-408.	-0.002069097464621718	-0.002199283198549213
-407.	-0.002094658282557142	-0.00221953474113659
-406.	-0.00210982816284905	-0.002239974226693332
-405.	-0.002136909557134212	-0.002260602736438551
-404.	-0.002160931224787518	-0.002281421325318026
-403.	-0.00218183938322515	-0.002302431019939625
-402.	-0.002203275289034376	-0.002323632817101782
-401.	-0.002226117225820383	-0.002345027681609625
-400.	-0.002243288415117737	-0.002366616544586273
-399.	-0.002266556500664417	-0.002388400301030436
-398.	-0.002288407347107576	-0.002410379808185279
-397.	-0.002316763967713051	-0.00243255588277589
-396.	-0.002330715419871517	-0.002454929299224814
-395.	-0.002358030136300188	-0.002477500786817788
-394.	-0.002372279701313474	-0.002500271027439127
-393.	-0.002398919476957505	-0.002523240652973323
-392.	-0.002422460986799091	-0.002546410242494284
-391.	-0.002445860614378053	-0.002569780319477364
-390.	-0.002465253220693487	-0.002593351348883234
-389.	-0.002486828411205212	-0.002617123734365119
-388.	-0.002506516097635925	-0.002641097814582499
-387.	-0.002536018227168472	-0.002665273860570087
-386.	-0.002564493423278389	-0.002689652071743567
-385.	-0.002577475900271387	-0.002714232572853433
-384.	-0.002603582290850298	-0.002739015409953791
-383.	-0.002633116436130405	-0.002764000546843177
-382.	-0.002653654424912507	-0.002789187861083267
-381.	-0.002674518720604392	-0.00281457713966672
-380.	-0.002697379830028638	-0.002840168075103787
-379.	-0.002722363712760306	-0.002865960260707287
-378.	-0.002745569827286044	-0.002891953186420034
-377.	-0.00277785177489492	-0.002918146233540848
-376.	-0.002802114926511343	-0.002944538670269618
-375.	-0.002820787584133981	-0.002971129646468252
-374.	-0.00286015869228736	-0.002997918188206044
-373.	-0.00287329842356645	-0.003024903192553206
-372.	-0.002890777740516274	-0.003052083421817354
-371.	-0.002922969163645473	-0.003079457497754719
-370.	-0.002958084995530467	-0.003107023895326071
-369.	-0.002984242332226546	-0.003134780936641677
-368.	-0.003005536321471098	-0.003162726784259244
-367.	-0.003034534101026283	-0.003190859434759441
-366.	-0.0030611588008004	-0.003219176711509527
-365.	-0.003091950042687904	-0.003247676257725955
-364.	-0.003124380880696569	-0.003276355528858127
-363.	-0.003143794150432942	-0.003305211785183596
-362.	-0.003169572198532939	-0.003334242083726939
-361.	-0.003195594554975555	-0.003363443270212787
-360.	-0.003225140489004962	-0.003392811970654453
-359.	-0.003248402398697342	-0.003422344582635978
-358.	-0.003280620817053672	-0.003452037266523518
-357.	-0.003312240179244911	-0.003481885936199781
-356.	-0.00334617870105089	-0.003511886249506343
-355.	-0.003366731153209641	-0.00354203359879342
-354.	-0.00339963911612574	-0.003572323100661127
-353.	-0.003435522396246537	-0.003602749585927502
-352.	-0.003459240471224191	-0.003633307588832269
-351.	-0.003472554082287896	-0.003663991336529351
-350.	-0.003511310472643349	-0.003694794737811121
-349.	-0.003537629708740415	-0.00372571137180481
-348.	-0.003556285659965388	-0.003756734476427582
-347.	-0.003592118980866207	-0.003787856936582805
-346.	-0.003626509556224711	-0.003819071271959568
-345.	-0.003647364747799287	-0.003850369624883769
-344.	-0.003671134426297276	-0.003881743747614269
-343.	-0.003706780029665797	-0.003913184989768885
-342.	-0.003737473247199614	-0.003944684285213294
-341.	-0.003769210880706706	-0.003976232139186636
-340.	-0.003787086059967862	-0.004007818615028994
-339.	-0.003823831622742593	-0.004039433320789209
-338.	-0.003853796440998893	-0.004071065395813083
-337.	-0.003890779262139875	-0.004102703497521403
-336.	-0.0039105163473199	-0.004134335787699814
-335.	-0.003941345105022786	-0.004165949919267161
-334.	-0.003962662484281189	-0.004197533023062072
-333.	-0.003990151108031452	-0.004229071694665815
-332.	-0.00401555784000359	-0.004260551981682054
-331.	-0.004042583092959785	-0.004291959371036694
-330.	-0.004064955443459072	-0.004323278777151986
-329.	-0.004101114329370091	-0.004354494530001878
-328.	-0.004124346620648741	-0.00438559036457148
-327.	-0.004153915046998677	-0.004416549410357234
-326.	-0.004184473837205524	-0.004447354182160808
-325.	-0.00420916540803359	-0.00447798657189428
-324.	-0.004231911937599683	-0.00450842784147068
-323.	-0.004258568080474764	-0.004538658617160842
-322.	-0.004280616198834252	-0.004568658885690355
-321.	-0.004300796725837628	-0.004598407992062101
-320.	-0.00433079931132533	-0.004627884639566388
-319.	-0.004356825829744777	-0.004657066892265998
-318.	-0.00437712272943233	-0.00468593218021265
-317.	-0.004401465805137245	-0.004714457307583422
-316.	-0.004425834300566225	-0.004742618464678966
-315.	-0.004450626153949759	-0.004770391243588884
-314.	-0.004476339484627159	-0.0047977506584426
-313.	-0.004488696800837607	-0.004824671170663454
-312.	-0.004508319637755963	-0.004851126719571895
-311.	-0.004541896543228733	-0.004877090759631864
-310.	-0.00455262974292771	-0.004902536304248533
-309.	-0.004572033740660615	-0.004927435977724452
-308.	-0.004592076073059115	-0.00495176207570323
-307.	-0.004610908143119801	-0.00497548663527588
-306.	-0.004621063094127898	-0.004998581515886171
-305.	-0.004637157926712087	-0.005021018492335537
-304.	-0.004660845334100929	-0.005042769360935359
-303.	-0.004666446818431921	-0.005063806060484003
-302.	-0.004681805618877502	-0.005084100809717999
-301.	-0.004695515551320011	-0.005103626262973812
-300.	-0.004698651841744738	-0.005122355685860106
-299.	-0.004713650396438127	-0.005140263153752188
-298.	-0.004724815792762964	-0.005157323774702549
-297.	-0.004728878146102986	-0.005173513940025976
-296.	-0.004731269124731752	-0.005188811605441402
-295.	-0.004735720467873556	-0.00520319660577202
-294.	-0.004731629377714824	-0.005216651007228941
-293.	-0.00475176112328693	-0.00522915950089513
-292.	-0.004750679505301106	-0.005240709841997012
-291.	-0.004744800057968186	-0.005251293339923547
-290.	-0.004744036410847723	-0.005260905404282366
-289.	-0.004747519728025812	-0.005269546152869402
-288.	-0.00474653907824668	-0.005277221088300695
-287.	-0.004742097098948169	-0.005283941850578773
-286.	-0.004728086289024795	-0.005289727053538383
-285.	-0.004723898858197	-0.005294603214042079
-284.	-0.004706228493246181	-0.005298605784005503
-283.	-0.004701421780615196	-0.005301780295912491
-282.	-0.004684287847829069	-0.005304183633700323
-281.	-0.004675190130746141	-0.005305885442883079
-280.	-0.004662429219384198	-0.005306969693743765
-279.	-0.004646022851402098	-0.005307536414832869
-278.	-0.004630892572391632	-0.005307703613737162
-277.	-0.004612925086365172	-0.005307609405760756
-276.	-0.004600416021636886	-0.005307414371919288
-275.	-0.00458068022700497	-0.005307304170898593
-274.	-0.004558702753808955	-0.005307492431377574
-273.	-0.004543170300476894	-0.005308223954494405
-272.	-0.004528127710001127	-0.005309778259208261
-271.	-0.004503620193969973	-0.005312473506276446
-270.	-0.004482051366049845	-0.005316670841191153
-269.	-0.004475689613425299	-0.005322779199204553
-268.	-0.004442367165523781	-0.005331260621678522
-267.	-0.004423124619689539	-0.005342636136233752
-266.	-0.004415599689346271	-0.00535749226013632
-265.	-0.004394883555472775	-0.005376488190873956
-264.	-0.004383194160810458	-0.005400363755087339
-263.	-0.004361776693822962	-0.005429948193777679
