dist_BEATS_source,B1_T
-5.01176414394978,0.004097442988067
-5.00975767156258,0.004272795217398
-5.00775119917537,0.004456410681537
-5.00574472678817,0.004651339788295
-5.00373825440096,0.004852034701922
-5.00173178201376,0.005062276319092
-4.99972530962656,0.005282350116
-4.99771883723935,0.005512446729011
-4.99571236485215,0.005753232831197
-4.99370589246494,0.006005752476965
-4.99169942007774,0.006269999308221
-4.98969294769054,0.006547015183801
-4.98768647530333,0.006839071059326
-4.98568000291613,0.007142309318263
-4.98367353052892,0.007460143081347
-4.98166705814172,0.00779223130577
-4.97966058575451,0.008145035014524
-4.97765411336731,0.00851020321424
-4.97564764098011,0.008893706670157
-4.9736411685929,0.009296838036611
-4.9716346962057,0.009719555866089
-4.96962822381849,0.01016523797389
-4.96762175143129,0.010631061395572
-4.96561527904409,0.011118291622641
-4.96360880665688,0.011631164050854
-4.96160233426968,0.012171351490018
-4.95959586188247,0.012736543604739
-4.95758938949527,0.013330900372576
-4.95558291710806,0.013956097264656
-4.95357644472086,0.014612485145963
-4.95156997233366,0.015303550868699
-4.94956349994645,0.016027653165315
-4.94755702755925,0.016788641507774
-4.94555055517204,0.017591310765576
-4.94354408278484,0.018434592316397
-4.94153761039764,0.019321663693284
-4.93953113801043,0.020254451352093
-4.93752466562323,0.021234420254542
-4.93551819323602,0.022267157112267
-4.93351172084882,0.023356371801377
-4.93150524846161,0.024501260175163
-4.92949877607441,0.025698862641159
-4.92749230368721,0.026970258823944
-4.9254858313,0.028300059626034
-4.9234793589128,0.029695553264152
-4.92147288652559,0.03116828804052
-4.91946641413839,0.032712296629694
-4.91745994175119,0.034337566014595
-4.91545346936398,0.036047287033384
-4.91344699697678,0.037834244296401
-4.91144052458957,0.039727049532284
-4.90943405220237,0.041697913293269
-4.90742757981517,0.043767075614836
-4.90542110742796,0.045931521191382
-4.90341463504076,0.048199986811889
-4.90140816265355,0.050570906954089
-4.89940169026635,0.053048400304645
-4.89739521787914,0.055631817477117
-4.89538874549194,0.05833028852483
-4.89338227310474,0.061135516716517
-4.89137580071753,0.064059455643349
-4.88936932833033,0.067100505556357
-4.88736285594312,0.070259001388256
-4.88535638355592,0.073531399837296
-4.88334991116871,0.076922045131334
-4.88134343878151,0.080436241138316
-4.87933696639431,0.084060093516244
-4.8773304940071,0.087805100716938
-4.8753240216199,0.091673762201568
-4.8733175492327,0.09566998878906
-4.87131107684549,0.099774236015718
-4.86930460445829,0.104008541945915
-4.86729813207108,0.108368479592603
-4.86529165968388,0.112856994138328
-4.86328518729667,0.117460051486568
-4.86127871490947,0.122186305034463
-4.85927224252227,0.127047621297427
-4.85726577013506,0.132038402216259
-4.85525929774786,0.137157163579446
-4.85325282536065,0.142422057868524
-4.85124635297345,0.147806089680972
-4.84923988058624,0.153370123175874
-4.84723340819904,0.159063535472058
-4.84522693581184,0.164895064588814
-4.84322046342463,0.17089075171019
-4.84121399103743,0.177072560917344
-4.83920751865022,0.183425968598687
-4.83720104626302,0.189923566433304
-4.83519457387582,0.196623763434287
-4.83318810148861,0.203516571196997
-4.83118162910141,0.210634208411326
-4.8291751567142,0.217954536795032
-4.827168684327,0.225493392972051
-4.82516221193979,0.233314138709646
-4.82315573955259,0.241383010114307
-4.82114926716539,0.249739611999932
-4.81914279477818,0.258361777087887
-4.81713632239098,0.267316870018007
-4.81512985000378,0.276597777620132
-4.81312337761657,0.286236218284461
-4.81111690522937,0.296295796736533
-4.80911043284216,0.306757100580647
-4.80710396045496,0.317679578471661
-4.80509748806775,0.329075294032086
-4.80309101568055,0.340986375673224
-4.80108454329335,0.353490541430505
-4.79907807090614,0.366622975140855
-4.79707159851894,0.38034912971425
-4.79506512613173,0.394792399064892
-4.79305865374453,0.410056788334754
-4.79105218135732,0.426063825396048
-4.78904570897012,0.442951523898536
-4.78703923658292,0.460908441437992
-4.78503276419571,0.479900580824258
-4.78302629180851,0.500102841305625
-4.7810198194213,0.521415762635991
-4.7790133470341,0.544075485374179
-4.7770068746469,0.568176112902245
-4.77500040225969,0.593736417670863
-4.77300040154456,0.620951854340263
-4.77100040082943,0.649862189423922
-4.76900040011431,0.68077848043523
-4.76700039939918,0.713864580267952
-4.76500039868405,0.748729386813971
-4.76300039796892,0.785640256013098
-4.76100039725379,0.824752298409773
-4.75900039653866,0.865564251625404
-4.75700039582354,0.908102762719621
-4.75500039510841,0.951751024233151
-4.75300039439328,0.99614347831551
-4.75100039367815,1.0403297982932
-4.74900039296302,1.08369360856468
-4.74700039224789,1.1255942344334
-4.74500039153277,1.16489715618743
-4.74300039081764,1.20129403323758
-4.74100039010251,1.23402534572518
-4.73900038938738,1.26271883770261
-4.73700038867225,1.28760071940002
-4.73500038795712,1.30860778372336
-4.733000387242,1.32599842311696
-4.73100038652687,1.3403193767127
-4.72900038581174,1.35204607063938
-4.72700038509661,1.36162128990931
-4.72500038438148,1.36941754548828
-4.72300038366635,1.37579817115331
-4.72100038295123,1.3811341134316
-4.7190003822361,1.38569437506813
-4.71700038152097,1.38959194363899
-4.71500038080584,1.39301754328545
-4.71300038009071,1.39610696441665
-4.71100037937558,1.39886596937063
-4.70900037866046,1.4014190143527
-4.70700037794533,1.40374331373446
-4.7050003772302,1.4058872763805
-4.70300037651507,1.40782211661716
-4.70100037579994,1.4095606180752
-4.69900037508481,1.41110760320635
-4.69700037436969,1.41251578578761
-4.69500037365456,1.41377289242207
-4.69300037293943,1.41490756405712
-4.6910003722243,1.41596293754532
-4.68900037150917,1.41692398173516
-4.68700037079404,1.41784126173403
-4.68500037007892,1.41868540043305
