E[eV] theta[mrad] theta[deg]
9000 17.8102 1.0204492922839
9010 17.791 1.01934921331725
9020 17.7709 1.01819756814904
9030 17.7509 1.01705165255877
9040 17.7317 1.01595157359212
9050 17.7125 1.01485149462547
9060 17.6924 1.01369984945726
9070 17.6732 1.01259977049061
9080 17.654 1.01149969152396
9090 17.6348 1.0103996125573
9100 17.6147 1.00924796738909
9110 17.5955 1.00814788842244
9120 17.5763 1.00704780945579
9130 17.5571 1.00594773048914
9140 17.5379 1.00484765152249
9150 17.5187 1.00374757255584
9160 17.4995 1.00264749358918
9170 17.4812 1.00159898082409
9180 17.462 1.00049890185744
9190 17.4428 0.999398822890792
9200 17.4236 0.998298743924141
9210 17.4053 0.997250231159052
9220 17.3861 0.9961501521924
9230 17.3669 0.995050073225749
9240 17.3486 0.99400156046066
9250 17.3302 0.992947318117619
9260 17.311 0.991847239150968
9270 17.2927 0.990798726385879
9280 17.2735 0.989698647419227
9290 17.2561 0.9887017008557
9300 17.2369 0.987601621889049
9310 17.2185 0.986547379546008
9320 17.1993 0.985447300579357
9330 17.1819 0.984450354015829
9340 17.1627 0.983350275049178
9350 17.1452 0.982347598907699
9360 17.126 0.981247519941048
9370 17.1086 0.98025057337752
9380 17.0903 0.979202060612431
9390 17.0719 0.97814781826939
9400 17.0536 0.977099305504301
9410 17.0362 0.976102358940773
9420 17.0178 0.975048116597733
9430 16.9995 0.973999603832643
9440 16.9812 0.972951091067554
9450 16.9637 0.971948414926075
9460 16.9463 0.970951468362547
9470 16.9279 0.969897226019506
9480 16.9105 0.968900279455979
9490 16.8922 0.967851766690889
9500 16.8738 0.966797524347849
9510 16.8564 0.965800577784321
9520 16.8389 0.964797901642842
9530 16.8215 0.963800955079314
9540 16.804 0.962798278937835
9550 16.7866 0.961801332374308
9560 16.7683 0.960752819609218
9570 16.7508 0.95975014346774
9580 16.7342 0.958799033527822
9590 16.7168 0.957802086964295
9600 16.6993 0.956799410822816
9610 16.6819 0.955802464259288
9620 16.6644 0.954799788117809
9630 16.647 0.953802841554281
9640 16.6295 0.952800165412803
9650 16.6129 0.951849055472885
9660 16.5955 0.950852108909358
9670 16.578 0.949849432767879
9680 16.5614 0.948898322827962
9690 16.5448 0.947947212888044
9700 16.5274 0.946950266324517
9710 16.5108 0.945999156384599
9720 16.4934 0.945002209821072
9730 16.4759 0.943999533679593
9740 16.4602 0.943099989941238
9750 16.4427 0.942097313799759
9760 16.4262 0.941151933437793
9770 16.4087 0.940149257296314
9780 16.393 0.939249713557958
9790 16.3756 0.938252766994431
9800 16.359 0.937301657054514
9810 16.3424 0.936350547114597
9820 16.3258 0.93539943717468
9830 16.3092 0.934448327234762
9840 16.2926 0.933497217294845
9850 16.2752 0.932500270731318
9860 16.2595 0.931600726992962
9870 16.2429 0.930649617053045
9880 16.2263 0.929698507113128
9890 16.2097 0.928747397173211
9900 16.194 0.927847853434855
9910 16.1783 0.9269483096965
9920 16.1609 0.925951363132972
9930 16.1452 0.925051819394617
9940 16.1286 0.9241007094547
9950 16.1129 0.923201165716344
9960 16.0972 0.922301621977989
9970 16.0797 0.92129894583651
9980 16.064 0.920399402098155
9990 16.0483 0.919499858359799
10000 16.0317 0.918548748419882
10010 16.016 0.917649204681526
10020 16.0003 0.916749660943171
10030 15.9846 0.915850117204816
10040 15.9689 0.91495057346646
10050 15.9523 0.913999463526543
10060 15.9366 0.913099919788188
10070 15.9209 0.912200376049832
10080 15.9052 0.911300832311477
10090 15.8895 0.910401288573122
10100 15.8738 0.909501744834766
10110 15.8581 0.908602201096411
10120 15.8424 0.907702657358055
10130 15.8275 0.90684895024331
10140 15.8118 0.905949406504955
10150 15.7961 0.9050498627666
10160 15.7804 0.904150319028244
10170 15.7647 0.903250775289889
10180 15.749 0.902351231551534
10190 15.7341 0.901497524436789
10200 15.7184 0.900597980698433
10210 15.7027 0.899698436960078
10220 15.6879 0.898850459423284
10230 15.6722 0.897950915684929
10240 15.6573 0.897097208570184
10250 15.6416 0.896197664831829
10260 15.6268 0.895349687295035
10270 15.6111 0.894450143556679
10280 15.5963 0.893602166019886
10290 15.5814 0.892748458905141
10300 15.5657 0.891848915166785
10310 15.5509 0.891000937629992
10320 15.5352 0.890101393891637
10330 15.5212 0.889299252978453
10340 15.5055 0.888399709240098
10350 15.4907 0.887551731703304
10360 15.4758 0.886698024588559
10370 15.461 0.885850047051766
10380 15.4462 0.885002069514972
10390 15.4313 0.884148362400227
10400 15.4165 0.883300384863434
10410 15.4017 0.88245240732664
10420 15.3868 0.881598700211895
10430 15.372 0.880750722675102
10440 15.3572 0.879902745138308
10450 15.3432 0.879100604225125
10460 15.3284 0.878252626688331
10470 15.3135 0.877398919573586
10480 15.2987 0.876550942036793
10490 15.2847 0.875748801123609
10500 15.2699 0.874900823586816
10510 15.2551 0.874052846050022
10520 15.2411 0.873250705136839
10530 15.2263 0.872402727600045
10540 15.2123 0.871600586686862
10550 15.1975 0.870752609150069
10560 15.1826 0.869898902035324
10570 15.1687 0.869102490700092
10580 15.1547 0.868300349786909
10590 15.1407 0.867498208873725
10600 15.1259 0.866650231336932
10610 15.1119 0.865848090423749
10620 15.098 0.865051679088517
10630 15.084 0.864249538175334
10640 15.0692 0.86340156063854
10650 15.0552 0.862599419725357
10660 15.0412 0.861797278812174
10670 15.0273 0.861000867476942
10680 15.0133 0.860198726563759
10690 14.9994 0.859402315228527
10700 14.9854 0.858600174315344
10710 14.9714 0.857798033402161
10720 14.9566 0.856950055865367
10730 14.9426 0.856147914952184
10740 14.9287 0.855351503616952
10750 14.9147 0.854549362703769
10760 14.9007 0.853747221790586
10770 14.8868 0.852950810455354
10780 14.8737 0.852200235743733
10790 14.8597 0.851398094830549
10800 14.8458 0.850601683495318
10810 14.8327 0.849851108783696
10820 14.8187 0.849048967870513
10830 14.8056 0.848298393158892
10840 14.7917 0.84750198182366
10850 14.7777 0.846699840910477
10860 14.7646 0.845949266198855
10870 14.7507 0.845152854863623
10880 14.7367 0.84435071395044
10890 14.7245 0.843651705440381
10900 14.7105 0.842849564527197
10910 14.6965 0.842047423614014
10920 14.6835 0.841302578480344
10930 14.6695 0.840500437567161
10940 14.6564 0.83974986285554
10950 14.6433 0.838999288143918
10960 14.6294 0.838202876808687
10970 14.6171 0.837498138720676
10980 14.6032 0.836701727385444
10990 14.5901 0.835951152673822
11000 14.5761 0.835149011760639
11010 14.5639 0.83445000325058
11020 14.5499 0.833647862337397
11030 14.5377 0.832948853827337
11040 14.5238 0.832152442492105
11050 14.5107 0.831401867780484
11060 14.4976 0.830651293068862
11070 14.4845 0.829900718357241
11080 14.4714 0.829150143645619
11090 14.4583 0.828399568933998
11100 14.4461 0.827700560423939
11110 14.4321 0.826898419510755
11120 14.4199 0.826199411000696
11130 14.4068 0.825448836289074
11140 14.3937 0.824698261577453
11150 14.3806 0.823947686865832
11160 14.3684 0.823248678355772
11170 14.3545 0.82245226702054
11180 14.3422 0.821747528932529
11190 14.3292 0.821002683798859
11200 14.3169 0.820297945710848
11210 14.3038 0.819547370999227
11220 14.2908 0.818802525865557
11230 14.2785 0.818097787777546
11240 14.2663 0.817398779267486
11250 14.2532 0.816648204555865
11260 14.2401 0.815897629844244
11270 14.2279 0.815198621334184
11280 14.2148 0.814448046622563
11290 14.2026 0.813749038112503
11300 14.1904 0.813050029602443
11310 14.1773 0.812299454890822
11320 14.1651 0.811600446380762
11330 14.1529 0.810901437870703
11340 14.1398 0.810150863159081
11350 14.1276 0.809451854649022
11360 14.1145 0.808701279937401
11370 14.1023 0.808002271427341
11380 14.09 0.80729753333933
11390 14.0778 0.80659852482927
11400 14.0656 0.805899516319211
11410 14.0534 0.805200507809151
11420 14.0412 0.804501499299091
11430 14.0281 0.80375092458747
11440 14.0159 0.803051916077411
11450 14.0045 0.802398744190961
11460 13.9923 0.801699735680902
11470 13.9801 0.801000727170842
11480 13.9679 0.800301718660782
11490 13.9557 0.799602710150723
11500 13.9434 0.798897972062712
11510 13.9312 0.798198963552653
11520 13.919 0.797499955042593
11530 13.9068 0.796800946532533
11540 13.8954 0.796147774646084
11550 13.8832 0.795448766136024
11560 13.871 0.794749757625965
11570 13.8588 0.794050749115905
11580 13.8466 0.793351740605846
11590 13.8352 0.792698568719397
11600 13.8239 0.792051126410899
11610 13.8117 0.791352117900839
11620 13.7994 0.790647379812828
11630 13.7881 0.789999937504331
11640 13.7759 0.789300928994271
11650 13.7637 0.788601920484211
11660 13.7523 0.787948748597762
11670 13.741 0.787301306289264
11680 13.7288 0.786602297779205
11690 13.7174 0.785949125892755
11700 13.7052 0.785250117382696
11710 13.693 0.784551108872636
11720 13.6825 0.783949503187749
11730 13.6703 0.783250494677689
11740 13.6589 0.78259732279124
11750 13.6476 0.781949880482742
11760 13.6354 0.781250871972683
11770 13.624 0.780597700086234
11780 13.6118 0.779898691576174
11790 13.6014 0.779302815469238
11800 13.5891 0.778598077381227
11810 13.5778 0.777950635072729
11820 13.5664 0.77729746318628
11830 13.5551 0.776650020877782
11840 13.5438 0.776002578569284
11850 13.5324 0.775349406682835
11860 13.5202 0.774650398172776
11870 13.5097 0.774048792487888
11880 13.4975 0.773349783977829
11890 13.487 0.772748178292941
11900 13.4748 0.772049169782882
11910 13.4635 0.771401727474384
11920 13.453 0.770800121789496
11930 13.4408 0.770101113279437
11940 13.4303 0.76949950759455
11950 13.419 0.768852065286052
11960 13.4076 0.768198893399603
11970 13.3963 0.767551451091105
11980 13.3858 0.766949845406217
11990 13.3736 0.766250836896158
12000 13.3631 0.76564923121127
12010 13.3526 0.765047625526383
12020 13.3404 0.764348617016324
12030 13.33 0.763752740909387
12040 13.3186 0.763099569022938
12050 13.3073 0.76245212671444
12060 13.2968 0.761850521029553
12070 13.2854 0.761197349143104
12080 13.275 0.760601473036168
12090 13.2636 0.759948301149719
12100 13.2523 0.759300858841221
12110 13.2418 0.758699253156334
12120 13.2305 0.758051810847836
12130 13.22 0.757450205162948
12140 13.2095 0.756848599478061
12150 13.1982 0.756201157169563
12160 13.1868 0.755547985283114
12170 13.1764 0.754952109176178
12180 13.1659 0.754350503491291
12190 13.1554 0.753748897806403
12200 13.1441 0.753101455497905
12210 13.1336 0.752499849813018
12220 13.1231 0.751898244128131
12230 13.1127 0.751302368021195
12240 13.1004 0.750597629933184
12250 13.09 0.750001753826248
12260 13.0795 0.74940014814136
12270 13.069 0.748798542456473
12280 13.0586 0.748202666349537
12290 13.0481 0.747601060664649
12300 13.0367 0.7469478887782
12310 13.0263 0.746352012671264
12320 13.0158 0.745750406986377
12330 13.0053 0.74514880130149
12340 12.9948 0.744547195616602
12350 12.9844 0.743951319509666
12360 12.9739 0.743349713824779
12370 12.9634 0.742748108139891
12380 12.9538 0.742198068656566
12390 12.9434 0.74160219254963
12400 12.9329 0.741000586864742
12410 12.9224 0.740398981179855
12420 12.9119 0.739797375494968
12430 12.9015 0.739201499388032
12440 12.891 0.738599893703144
12450 12.8805 0.737998288018257
12460 12.8701 0.737402411911321
12470 12.8605 0.736852372427995
12480 12.85 0.736250766743108
12490 12.8395 0.735649161058221
12500 12.829 0.735047555373333
12510 12.8186 0.734451679266397
12520 12.8081 0.73385007358151
12530 12.7985 0.733300034098184
12540 12.788 0.732698428413297
12550 12.7776 0.732102552306361
12560 12.7671 0.731500946621473
12570 12.7575 0.730950907138148
12580 12.7479 0.730400867654822
12590 12.7374 0.729799261969935
12600 12.7269 0.729197656285047
12610 12.7173 0.728647616801722
12620 12.7069 0.728051740694786
12630 12.6964 0.727450135009898
12640 12.6877 0.726951661728135
12650 12.6772 0.726350056043247
12660 12.6667 0.72574845035836
12670 12.6571 0.725198410875034
12680 12.6467 0.724602534768098
12690 12.6371 0.724052495284773
12700 12.6275 0.723502455801447
12710 12.617 0.72290085011656
12720 12.6065 0.722299244431672
12730 12.5978 0.721800771149908
12740 12.5873 0.721199165465021
12750 12.5777 0.720649125981696
12760 12.5672 0.720047520296808
12770 12.5576 0.719497480813483
12780 12.548 0.718947441330157
12790 12.5376 0.718351565223221
12800 12.5288 0.717847362363506
12810 12.5184 0.71725148625657
12820 12.5088 0.716701446773244
12830 12.4992 0.716151407289919
12840 12.4896 0.715601367806593
12850 12.48 0.715051328323268
12860 12.4704 0.714501288839942
12870 12.4599 0.713899683155054
12880 12.4512 0.713401209873291
12890 12.4407 0.712799604188403
12900 12.432 0.712301130906639
12910 12.4215 0.711699525221752
12920 12.4119 0.711149485738426
12930 12.4023 0.710599446255101
12940 12.3927 0.710049406771775
12950 12.384 0.709550933490011
12960 12.3735 0.708949327805124
12970 12.3648 0.70845085452336
12980 12.3543 0.707849248838473
12990 12.3456 0.707350775556709
13000 12.336 0.706800736073384
13010 12.3264 0.706250696590058
13020 12.3168 0.705700657106732
13030 12.3081 0.705202183824969
13040 12.2976 0.704600578140081
13050 12.2889 0.704102104858317
13060 12.2793 0.703552065374992
13070 12.2697 0.703002025891666
13080 12.2601 0.702451986408341
13090 12.2513 0.701947783548625
13100 12.2417 0.7013977440653
13110 12.2321 0.700847704581974
13120 12.2234 0.70034923130021
13130 12.2129 0.699747625615323
13140 12.2042 0.699249152333559
13150 12.1955 0.698750679051795
13160 12.1859 0.69820063956847
13170 12.1763 0.697650600085144
13180 12.1676 0.69715212680338
13190 12.158 0.696602087320055
13200 12.1492 0.69609788446034
13210 12.1405 0.695599411178576
13220 12.13 0.694997805493689
13230 12.1213 0.694499332211925
13240 12.1126 0.694000858930161
13250 12.103 0.693450819446835
13260 12.0943 0.692952346165072
13270 12.0847 0.692402306681746
13280 12.0759 0.691898103822031
13290 12.0663 0.691348064338705
13300 12.0576 0.690849591056942
13310 12.0489 0.690351117775178
13320 12.0402 0.689852644493414
13330 12.0306 0.689302605010088
13340 12.0218 0.688798402150373
13350 12.0122 0.688248362667048
13360 12.0035 0.687749889385284
13370 11.9948 0.68725141610352
13380 11.9852 0.686701376620194
13390 11.9764 0.686197173760479
13400 11.9677 0.685698700478715
13410 11.959 0.685200227196952
13420 11.9503 0.684701753915188
13430 11.9415 0.684197551055473
13440 11.9319 0.683647511572147
13450 11.9232 0.683149038290383
13460 11.9145 0.682650565008619
13470 11.9058 0.682152091726855
13480 11.897 0.68164788886714
13490 11.8883 0.681149415585377
13500 11.8796 0.680650942303613
13510 11.8709 0.680152469021849
13520 11.8621 0.679648266162134
13530 11.8525 0.679098226678808
13540 11.8438 0.678599753397045
13550 11.8351 0.678101280115281
13560 11.8264 0.677602806833517
13570 11.8176 0.677098603973802
13580 11.8089 0.676600130692038
13590 11.8002 0.676101657410274
13600 11.7914 0.675597454550559
13610 11.7827 0.675098981268795
13620 11.7749 0.674652074188593
13630 11.7661 0.674147871328878
13640 11.7574 0.673649398047114
13650 11.7487 0.67315092476535
13660 11.74 0.672652451483586
13670 11.7312 0.672148248623871
13680 11.7225 0.671649775342108
13690 11.7147 0.671202868261906
13700 11.7059 0.67069866540219
13710 11.6972 0.670200192120427
13720 11.6885 0.669701718838663
13730 11.6797 0.669197515978948
13740 11.671 0.668699042697184
13750 11.664 0.668297972240592
13760 11.6553 0.667799498958828
13770 11.6466 0.667301025677065
13780 11.6379 0.666802552395301
13790 11.6291 0.666298349535586
13800 11.6213 0.665851442455384
13810 11.6125 0.665347239595669
13820 11.6038 0.664848766313905
13830 11.5951 0.664350293032141
13840 11.5881 0.663949222575549
13850 11.5794 0.663450749293785
13860 11.5707 0.662952276012022
13870 11.5619 0.662448073152306
13880 11.5541 0.662001166072104
13890 11.5454 0.661502692790341
13900 11.5375 0.661050056132187
13910 11.5296 0.660597419474034
13920 11.5209 0.66009894619227
13930 11.5122 0.659600472910506
13940 11.5043 0.659147836252353
13950 11.4965 0.658700929172151
13960 11.4878 0.658202455890387
13970 11.4799 0.657749819232234
13980 11.4712 0.65725134595047
13990 11.4633 0.656798709292317
14000 11.4555 0.656351802212115
14010 11.4467 0.655847599352399
14020 11.438 0.655349126070636
14030 11.431 0.654948055614044
14040 11.4223 0.65444958233228
14050 11.4145 0.654002675252078
14060 11.4066 0.653550038593925
14070 11.3979 0.653051565312161
14080 11.39 0.652598928654008
14090 11.3822 0.652152021573806
14100 11.3743 0.651699384915652
14110 11.3656 0.651200911633888
14120 11.3577 0.650748274975735
14130 11.3499 0.650301367895533
14140 11.3411 0.649797165035818
14150 11.3342 0.649401824157178
14160 11.3254 0.648897621297463
14170 11.3176 0.648450714217261
14180 11.3097 0.647998077559107
14190 11.3019 0.647551170478905
14200 11.2932 0.647052697197141
14210 11.2862 0.64665162674055
14220 11.2774 0.646147423880835
14230 11.2705 0.645752083002194
14240 11.2617 0.645247880142479
14250 11.2548 0.644852539263839
14260 11.246 0.644348336404124
14270 11.2382 0.643901429323922
14280 11.2303 0.643448792665768
14290 11.2225 0.643001885585566
14300 11.2155 0.642600815128975
14310 11.2068 0.642102341847211
14320 11.1998 0.641701271390619
14330 11.1911 0.641202798108856
14340 11.1841 0.640801727652264
14350 11.1753 0.640297524792549
14360 11.1684 0.639902183913909
14370 11.1605 0.639449547255755
14380 11.1527 0.639002640175553
14390 11.1448 0.6385500035174
14400 11.1369 0.638097366859247
14410 11.1291 0.637650459779044
14420 11.1221 0.637249389322453
14430 11.1134 0.636750916040689
14440 11.1064 0.636349845584098
14450 11.0985 0.635897208925944
14460 11.0907 0.635450301845742
14470 11.0828 0.634997665187589
14480 11.0759 0.634602324308949
14490 11.068 0.634149687650795
14500 11.0602 0.633702780570593
14510 11.0532 0.633301710114002
14520 11.0444 0.632797507254286
14530 11.0375 0.632402166375646
14540 11.0296 0.631949529717493
14550 11.0218 0.631502622637291
14560 11.0148 0.631101552180699
14570 11.0069 0.630648915522546
14580 10.9999 0.630247845065954
14590 10.9921 0.629800937985752
14600 10.9842 0.629348301327599
14610 10.9772 0.628947230871007
14620 10.9694 0.628500323790805
14630 10.9615 0.628047687132652
14640 10.9546 0.627652346254012
14650 10.9467 0.627199709595858
14660 10.9397 0.626798639139267
14670 10.9319 0.626351732059065
14680 10.9249 0.625950661602473
14690 10.917 0.62549802494432
14700 10.9101 0.625102684065679
14710 10.9031 0.624701613609088
14720 10.8943 0.624197410749373
14730 10.8874 0.623802069870732
14740 10.8804 0.623400999414141
14750 10.8725 0.622948362755988
14760 10.8655 0.622547292299396
14770 10.8577 0.622100385219194
14780 10.8507 0.621699314762602
14790 10.8429 0.6212524076824
14800 10.8359 0.620851337225809
14810 10.8289 0.620450266769217
14820 10.8219 0.620049196312626
14830 10.8141 0.619602289232424
14840 10.8062 0.61914965257427
14850 10.7992 0.618748582117679
14860 10.7922 0.618347511661087
14870 10.7853 0.617952170782447
14880 10.7774 0.617499534124293
14890 10.7704 0.617098463667702
14900 10.7634 0.61669739321111
14910 10.7565 0.61630205233247
14920 10.7495 0.615900981875878
14930 10.7416 0.615448345217725
14940 10.7338 0.615001438137523
14950 10.7268 0.614600367680932
14960 10.7198 0.61419929722434
14970 10.7128 0.613798226767748
14980 10.7058 0.613397156311157
14990 10.6989 0.613001815432517
15000 10.691 0.612549178774363
15010 10.684 0.612148108317771
15020 10.6771 0.611752767439131
15030 10.6701 0.61135169698254
15040 10.6631 0.610950626525948
15050 10.6561 0.610549556069357
15060 10.6491 0.610148485612765
15070 10.6421 0.609747415156173
15080 10.6352 0.609352074277533
15090 10.6273 0.60889943761938
15100 10.6203 0.608498367162788
15110 10.6133 0.608097296706197
15120 10.6064 0.607701955827556
15130 10.5994 0.607300885370965
15140 10.5924 0.606899814914373
15150 10.5854 0.606498744457782
15160 10.5784 0.60609767400119
15170 10.5715 0.60570233312255
15180 10.5645 0.605301262665958
15190 10.5575 0.604900192209367
15200 10.5514 0.604550687954337
15210 10.5444 0.604149617497745
15220 10.5374 0.603748547041154
15230 10.5304 0.603347476584562
15240 10.5235 0.602952135705922
15250 10.5165 0.60255106524933
15260 10.5095 0.602149994792739
15270 10.5025 0.601748924336147
15280 10.4955 0.601347853879555
15290 10.4886 0.600952513000915
15300 10.4816 0.600551442544324
15310 10.4755 0.600201938289294
15320 10.4685 0.599800867832702
15330 10.4615 0.599399797376111
15340 10.4545 0.598998726919519
15350 10.4475 0.598597656462928
15360 10.4406 0.598202315584287
15370 10.4336 0.597801245127696
15380 10.4275 0.597451740872666
15390 10.4205 0.597050670416074
15400 10.4135 0.596649599959483
15410 10.4074 0.596300095704453
15420 10.4004 0.595899025247861
15430 10.3934 0.59549795479127
15440 10.3873 0.59514845053624
15450 10.3803 0.594747380079648
15460 10.3734 0.594352039201008
15470 10.3664 0.593950968744417
15480 10.3594 0.593549898287825
15490 10.3533 0.593200394032795
15500 10.3463 0.592799323576204
15510 10.3402 0.592449819321174
15520 10.3332 0.592048748864582
15530 10.3271 0.591699244609552
15540 10.3201 0.591298174152961
15550 10.3132 0.590902833274321
15560 10.3062 0.590501762817729
15570 10.3001 0.590152258562699
15580 10.294 0.589802754307669
15590 10.287 0.589401683851078
15600 10.28 0.589000613394486
15610 10.2739 0.588651109139456
15620 10.2669 0.588250038682865
15630 10.2608 0.587900534427835
15640 10.2538 0.587499463971244
15650 10.2477 0.587149959716214
15660 10.2407 0.586748889259622
15670 10.2337 0.586347818803031
15680 10.2285 0.586049880749562
15690 10.2215 0.585648810292971
15700 10.2145 0.585247739836379
15710 10.2084 0.58489823558135
15720 10.2014 0.584497165124758
15730 10.1953 0.584147660869728
15740 10.1892 0.583798156614698
15750 10.1823 0.583402815736058
