X [$\mu$m],Mean
-3.048380664062500000e+04,0.000000000000000000e+00
-2.987050195312500000e+04,0.000000000000000000e+00
-2.925719726562500000e+04,5.670735239982604980e-01
-2.864389062500000000e+04,0.000000000000000000e+00
-2.803058593750000000e+04,1.618115067481994629e+00
-2.741728125000000000e+04,5.382298231124877930e-01
-2.680397656250000000e+04,1.888559311628341675e-01
-2.619067187500000000e+04,1.547401189804077148e+00
-2.557736718750000000e+04,1.527557253837585449e+00
-2.496406054687500000e+04,2.069892406463623047e+00
-2.435075585937500000e+04,4.558293342590332031e+00
-2.373745117187500000e+04,2.614430189132690430e+00
-2.312414648437500000e+04,2.968208312988281250e+00
-2.251083984375000000e+04,6.866278171539306641e+00
-2.189753515625000000e+04,7.251447200775146484e+00
-2.128423046875000000e+04,8.878522872924804688e+00
-2.067092578125000000e+04,1.231134510040283203e+01
-2.005762109375000000e+04,8.733847618103027344e+00
-1.944431640625000000e+04,1.053189468383789062e+01
-1.883101171875000000e+04,1.713126945495605469e+01
-1.821770507812500000e+04,1.239196777343750000e+01
-1.760440039062500000e+04,1.186375522613525391e+01
-1.699109570312500000e+04,1.303543663024902344e+01
-1.637779003906250000e+04,1.675248908996582031e+01
-1.576448535156250000e+04,1.678816223144531250e+01
-1.515118066406250000e+04,1.672511100769042969e+01
-1.453787500000000000e+04,1.164293670654296875e+01
-1.392457031250000000e+04,1.482261848449707031e+01
-1.331126562500000000e+04,1.297049236297607422e+01
-1.269796093750000000e+04,1.634574508666992188e+01
-1.208465429687500000e+04,1.805082321166992188e+01
-1.147134960937500000e+04,1.495475578308105469e+01
-1.085804492187500000e+04,1.751965713500976562e+01
-1.024474023437500000e+04,1.677092933654785156e+01
-9.631435546875000000e+03,1.697652626037597656e+01
-9.018128906250000000e+03,1.625827598571777344e+01
-8.404824218750000000e+03,1.771895027160644531e+01
-7.791519531250000000e+03,1.697862052917480469e+01
-7.178214843750000000e+03,1.696573448181152344e+01
-6.564910156250000000e+03,1.466912460327148438e+01
-5.951603515625000000e+03,1.711527252197265625e+01
-5.338298828125000000e+03,1.867730903625488281e+01
-4.724994140625000000e+03,1.938476371765136719e+01
-4.111689453125000000e+03,1.768344116210937500e+01
-3.498384765625000000e+03,1.414213180541992188e+01
-2.885080078125000000e+03,1.794156455993652344e+01
-2.271773437500000000e+03,2.137961196899414062e+01
-1.658468750000000000e+03,2.009415626525878906e+01
-1.045164062500000000e+03,1.245947360992431641e+01
-4.318593750000000000e+02,1.861177635192871094e+01
1.814453125000000000e+02,1.714298057556152344e+01
7.947519531250000000e+02,1.601355171203613281e+01
1.408056640625000000e+03,1.830773353576660156e+01
2.021361328125000000e+03,1.699584388732910156e+01
2.634666015625000000e+03,2.496071815490722656e+01
3.247970703125000000e+03,1.529322910308837891e+01
3.861275390625000000e+03,1.538860130310058594e+01
4.474580078125000000e+03,1.634259414672851562e+01
5.087884765625000000e+03,1.497221469879150391e+01
5.701193359375000000e+03,2.262396430969238281e+01
6.314498046875000000e+03,1.582983112335205078e+01
6.927802734375000000e+03,1.596099853515625000e+01
7.541107421875000000e+03,1.594895362854003906e+01
8.154412109375000000e+03,1.645183563232421875e+01
8.767716796875000000e+03,1.747366905212402344e+01
9.381021484375000000e+03,1.574746990203857422e+01
9.994326171875000000e+03,1.902435493469238281e+01
1.060763085937500000e+04,1.444761276245117188e+01
1.122093554687500000e+04,1.027269649505615234e+01
1.183424023437500000e+04,1.798692893981933594e+01
1.244754882812500000e+04,1.067869091033935547e+01
1.306085351562500000e+04,1.763599395751953125e+01
1.367415820312500000e+04,1.745782852172851562e+01
1.428746289062500000e+04,1.791345214843750000e+01
1.490076757812500000e+04,1.762854194641113281e+01
1.551407226562500000e+04,1.767442321777343750e+01
1.612737695312500000e+04,1.711353492736816406e+01
1.674068164062500000e+04,1.934566497802734375e+01
1.735398632812500000e+04,1.580165863037109375e+01
1.796729101562500000e+04,1.825257110595703125e+01
1.858059960937500000e+04,1.183211040496826172e+01
1.919390429687500000e+04,9.757617950439453125e+00
1.980720898437500000e+04,5.872560024261474609e+00
2.042051367187500000e+04,7.445830345153808594e+00
2.103381835937500000e+04,5.437234401702880859e+00
2.164712304687500000e+04,7.027080059051513672e+00
2.226042773437500000e+04,1.997949004173278809e+00
2.287373242187500000e+04,5.442581176757812500e+00
2.348703710937500000e+04,1.453343629837036133e+00
2.410034179687500000e+04,2.725648164749145508e+00
2.471364648437500000e+04,2.552160501480102539e+00
2.532695507812500000e+04,3.612810745835304260e-03
2.594025976562500000e+04,1.280413508415222168e+00
2.655356445312500000e+04,0.000000000000000000e+00
2.716686914062500000e+04,5.806087255477905273e-01
2.778017382812500000e+04,4.985406398773193359e-01
2.839347851562500000e+04,0.000000000000000000e+00
2.900678320312500000e+04,0.000000000000000000e+00
2.962008789062500000e+04,0.000000000000000000e+00
3.023339257812500000e+04,0.000000000000000000e+00
