X,Y
-5.461954589843750000e+03,0.000000000000000000e+00
-5.355014160156250000e+03,0.000000000000000000e+00
-5.248073730468750000e+03,0.000000000000000000e+00
-5.141132812500000000e+03,0.000000000000000000e+00
-5.034192382812500000e+03,0.000000000000000000e+00
-4.927251953125000000e+03,1.000000000000000000e+00
-4.820311523437500000e+03,1.000000000000000000e+00
-4.713371093750000000e+03,5.000000000000000000e+00
-4.606430175781250000e+03,9.000000000000000000e+00
-4.499489746093750000e+03,1.400000000000000000e+01
-4.392549316406250000e+03,1.400000000000000000e+01
-4.285608398437500000e+03,1.700000000000000000e+01
-4.178667968750000000e+03,2.400000000000000000e+01
-4.071727539062500000e+03,2.000000000000000000e+01
-3.964787109375000000e+03,2.300000000000000000e+01
-3.857846679687500000e+03,2.800000000000000000e+01
-3.750906005859375000e+03,1.800000000000000000e+01
-3.643965332031250000e+03,1.500000000000000000e+01
-3.537024902343750000e+03,2.100000000000000000e+01
-3.430084472656250000e+03,2.000000000000000000e+01
-3.323143798828125000e+03,2.000000000000000000e+01
-3.216203369140625000e+03,2.400000000000000000e+01
-3.109262695312500000e+03,2.700000000000000000e+01
-3.002322265625000000e+03,2.400000000000000000e+01
-2.895381835937500000e+03,2.300000000000000000e+01
-2.788441162109375000e+03,2.000000000000000000e+01
-2.681500732421875000e+03,2.200000000000000000e+01
-2.574560058593750000e+03,2.300000000000000000e+01
-2.467619628906250000e+03,1.900000000000000000e+01
-2.360678955078125000e+03,1.600000000000000000e+01
-2.253738525390625000e+03,2.200000000000000000e+01
-2.146797851562500000e+03,1.400000000000000000e+01
-2.039857421875000000e+03,2.500000000000000000e+01
-1.932916992187500000e+03,2.900000000000000000e+01
-1.825976318359375000e+03,1.700000000000000000e+01
-1.719035888671875000e+03,2.200000000000000000e+01
-1.612095214843750000e+03,2.100000000000000000e+01
-1.505154785156250000e+03,1.800000000000000000e+01
-1.398214111328125000e+03,1.000000000000000000e+01
-1.291273437500000000e+03,2.100000000000000000e+01
-1.184333007812500000e+03,1.600000000000000000e+01
-1.077392578125000000e+03,1.800000000000000000e+01
-9.704521484375000000e+02,2.300000000000000000e+01
-8.635117187500000000e+02,2.000000000000000000e+01
-7.565708007812500000e+02,2.100000000000000000e+01
-6.496303710937500000e+02,1.900000000000000000e+01
-5.426899414062500000e+02,8.000000000000000000e+00
-4.357495117187500000e+02,1.500000000000000000e+01
-3.288090820312500000e+02,1.800000000000000000e+01
-2.218681640625000000e+02,2.200000000000000000e+01
-1.149277343750000000e+02,2.000000000000000000e+01
-7.987304687500000000e+00,1.500000000000000000e+01
9.895312500000000000e+01,1.800000000000000000e+01
2.058940429687500000e+02,1.900000000000000000e+01
3.128344726562500000e+02,2.000000000000000000e+01
4.197749023437500000e+02,2.300000000000000000e+01
5.267153320312500000e+02,1.500000000000000000e+01
6.336557617187500000e+02,2.300000000000000000e+01
7.405966796875000000e+02,2.200000000000000000e+01
8.475371093750000000e+02,1.600000000000000000e+01
9.544775390625000000e+02,1.900000000000000000e+01
1.061417968750000000e+03,2.500000000000000000e+01
1.168358886718750000e+03,2.600000000000000000e+01
1.275299316406250000e+03,2.800000000000000000e+01
1.382239746093750000e+03,1.400000000000000000e+01
1.489180175781250000e+03,2.000000000000000000e+01
1.596120605468750000e+03,2.700000000000000000e+01
1.703061523437500000e+03,2.000000000000000000e+01
1.810001953125000000e+03,1.200000000000000000e+01
1.916942382812500000e+03,1.200000000000000000e+01
2.023882812500000000e+03,1.400000000000000000e+01
2.130823730468750000e+03,1.600000000000000000e+01
2.237764160156250000e+03,1.700000000000000000e+01
2.344704589843750000e+03,3.300000000000000000e+01
2.451645019531250000e+03,2.000000000000000000e+01
2.558585449218750000e+03,1.500000000000000000e+01
2.665526367187500000e+03,2.200000000000000000e+01
2.772466308593750000e+03,2.300000000000000000e+01
2.879407714843750000e+03,1.400000000000000000e+01
2.986348144531250000e+03,2.100000000000000000e+01
3.093288574218750000e+03,1.000000000000000000e+01
3.200229003906250000e+03,1.700000000000000000e+01
3.307169433593750000e+03,2.600000000000000000e+01
3.414109863281250000e+03,2.000000000000000000e+01
3.521050292968750000e+03,2.500000000000000000e+01
3.627990722656250000e+03,1.800000000000000000e+01
3.734931152343750000e+03,2.000000000000000000e+01
3.841872558593750000e+03,2.200000000000000000e+01
3.948812988281250000e+03,2.000000000000000000e+01
4.055753417968750000e+03,2.000000000000000000e+01
4.162693847656250000e+03,1.500000000000000000e+01
4.269634277343750000e+03,1.400000000000000000e+01
4.376574707031250000e+03,9.000000000000000000e+00
4.483515136718750000e+03,8.000000000000000000e+00
4.590455566406250000e+03,3.000000000000000000e+00
4.697395996093750000e+03,1.000000000000000000e+00
4.804336425781250000e+03,0.000000000000000000e+00
4.911277832031250000e+03,0.000000000000000000e+00
5.018218261718750000e+03,0.000000000000000000e+00
5.125158691406250000e+03,0.000000000000000000e+00
