Y,Y
-2.408514648437500000e+03,0.000000000000000000e+00
-2.359200439453125000e+03,0.000000000000000000e+00
-2.309885986328125000e+03,0.000000000000000000e+00
-2.260571777343750000e+03,0.000000000000000000e+00
-2.211257568359375000e+03,1.000000000000000000e+00
-2.161943359375000000e+03,2.000000000000000000e+00
-2.112628906250000000e+03,4.000000000000000000e+00
-2.063314697265625000e+03,8.000000000000000000e+00
-2.014000488281250000e+03,1.600000000000000000e+01
-1.964686157226562500e+03,2.800000000000000000e+01
-1.915371826171875000e+03,5.200000000000000000e+01
-1.866057617187500000e+03,6.000000000000000000e+01
-1.816743286132812500e+03,8.800000000000000000e+01
-1.767428955078125000e+03,1.280000000000000000e+02
-1.718114746093750000e+03,1.450000000000000000e+02
-1.668800537109375000e+03,1.800000000000000000e+02
-1.619486206054687500e+03,2.480000000000000000e+02
-1.570171875000000000e+03,2.970000000000000000e+02
-1.520857666015625000e+03,3.610000000000000000e+02
-1.471543457031250000e+03,4.030000000000000000e+02
-1.422229125976562500e+03,4.460000000000000000e+02
-1.372914794921875000e+03,5.210000000000000000e+02
-1.323600585937500000e+03,6.190000000000000000e+02
-1.274286254882812500e+03,6.950000000000000000e+02
-1.224971923828125000e+03,8.000000000000000000e+02
-1.175657714843750000e+03,9.420000000000000000e+02
-1.126343383789062500e+03,9.960000000000000000e+02
-1.077029174804687500e+03,1.119000000000000000e+03
-1.027714843750000000e+03,1.289000000000000000e+03
-9.784006347656250000e+02,1.427000000000000000e+03
-9.290863037109375000e+02,1.498000000000000000e+03
-8.797720947265625000e+02,1.621000000000000000e+03
-8.304577636718750000e+02,1.689000000000000000e+03
-7.811434326171875000e+02,1.865000000000000000e+03
-7.318292236328125000e+02,1.930000000000000000e+03
-6.825148925781250000e+02,2.003000000000000000e+03
-6.332006835937500000e+02,2.179000000000000000e+03
-5.838863525390625000e+02,2.129000000000000000e+03
-5.345721435546875000e+02,2.406000000000000000e+03
-4.852578125000000000e+02,2.311000000000000000e+03
-4.359436035156250000e+02,2.414000000000000000e+03
-3.866292724609375000e+02,2.493000000000000000e+03
-3.373149414062500000e+02,2.489000000000000000e+03
-2.880007324218750000e+02,2.575000000000000000e+03
-2.386865234375000000e+02,2.611000000000000000e+03
-1.893720703125000000e+02,2.574000000000000000e+03
-1.400578613281250000e+02,2.670000000000000000e+03
-9.074365234375000000e+01,2.664000000000000000e+03
-4.142919921875000000e+01,2.692000000000000000e+03
7.885009765625000000e+00,2.743000000000000000e+03
5.719921875000000000e+01,2.694000000000000000e+03
1.065134277343750000e+02,2.657000000000000000e+03
1.558278808593750000e+02,2.669000000000000000e+03
2.051420898437500000e+02,2.638000000000000000e+03
2.544562988281250000e+02,2.480000000000000000e+03
3.037705078125000000e+02,2.486000000000000000e+03
3.530849609375000000e+02,2.430000000000000000e+03
4.023991699218750000e+02,2.419000000000000000e+03
4.517133789062500000e+02,2.335000000000000000e+03
5.010278320312500000e+02,2.361000000000000000e+03
5.503420410156250000e+02,2.170000000000000000e+03
5.996562500000000000e+02,2.098000000000000000e+03
6.489704589843750000e+02,1.971000000000000000e+03
6.982849121093750000e+02,1.876000000000000000e+03
7.475991210937500000e+02,1.843000000000000000e+03
7.969133300781250000e+02,1.693000000000000000e+03
8.462277832031250000e+02,1.576000000000000000e+03
8.955419921875000000e+02,1.454000000000000000e+03
9.448562011718750000e+02,1.325000000000000000e+03
9.941704101562500000e+02,1.198000000000000000e+03
1.043484863281250000e+03,1.067000000000000000e+03
1.092799072265625000e+03,9.920000000000000000e+02
1.142113281250000000e+03,8.700000000000000000e+02
1.191427734375000000e+03,7.590000000000000000e+02
1.240741943359375000e+03,6.580000000000000000e+02
1.290056152343750000e+03,6.320000000000000000e+02
1.339370361328125000e+03,5.360000000000000000e+02
1.388684814453125000e+03,4.250000000000000000e+02
1.437999023437500000e+03,3.960000000000000000e+02
1.487313232421875000e+03,3.200000000000000000e+02
1.536627441406250000e+03,2.510000000000000000e+02
1.585941894531250000e+03,2.500000000000000000e+02
1.635256103515625000e+03,1.720000000000000000e+02
1.684570312500000000e+03,1.350000000000000000e+02
1.733884765625000000e+03,1.140000000000000000e+02
1.783198730468750000e+03,8.600000000000000000e+01
1.832513183593750000e+03,6.000000000000000000e+01
1.881827636718750000e+03,4.700000000000000000e+01
1.931141601562500000e+03,1.100000000000000000e+01
1.980456054687500000e+03,1.300000000000000000e+01
2.029770507812500000e+03,1.000000000000000000e+01
2.079084472656250000e+03,2.000000000000000000e+00
2.128398925781250000e+03,4.000000000000000000e+00
2.177713378906250000e+03,1.000000000000000000e+00
2.227027343750000000e+03,0.000000000000000000e+00
2.276341796875000000e+03,0.000000000000000000e+00
2.325656250000000000e+03,0.000000000000000000e+00
2.374970214843750000e+03,1.000000000000000000e+00
2.424284667968750000e+03,0.000000000000000000e+00
2.473598632812500000e+03,0.000000000000000000e+00
