X,Y
-7.426774218750000000e+04,0.000000000000000000e+00
-7.277944531250000000e+04,0.000000000000000000e+00
-7.129114843750000000e+04,3.000000000000000000e+00
-6.980285156250000000e+04,1.200000000000000000e+01
-6.831456250000000000e+04,3.600000000000000000e+01
-6.682626562500000000e+04,9.000000000000000000e+01
-6.533796875000000000e+04,1.490000000000000000e+02
-6.384967187500000000e+04,2.390000000000000000e+02
-6.236137500000000000e+04,3.370000000000000000e+02
-6.087307812500000000e+04,4.730000000000000000e+02
-5.938478515625000000e+04,5.660000000000000000e+02
-5.789648828125000000e+04,6.660000000000000000e+02
-5.640819531250000000e+04,7.980000000000000000e+02
-5.491989843750000000e+04,8.580000000000000000e+02
-5.343160156250000000e+04,9.850000000000000000e+02
-5.194330468750000000e+04,1.217000000000000000e+03
-5.045500781250000000e+04,1.275000000000000000e+03
-4.896671484375000000e+04,1.411000000000000000e+03
-4.747841796875000000e+04,1.477000000000000000e+03
-4.599012500000000000e+04,1.516000000000000000e+03
-4.450182812500000000e+04,1.436000000000000000e+03
-4.301353125000000000e+04,1.502000000000000000e+03
-4.152523437500000000e+04,1.550000000000000000e+03
-4.003693750000000000e+04,1.465000000000000000e+03
-3.854864453125000000e+04,1.593000000000000000e+03
-3.706034765625000000e+04,1.656000000000000000e+03
-3.557205078125000000e+04,1.652000000000000000e+03
-3.408375781250000000e+04,1.614000000000000000e+03
-3.259546093750000000e+04,1.727000000000000000e+03
-3.110716406250000000e+04,1.698000000000000000e+03
-2.961886718750000000e+04,1.742000000000000000e+03
-2.813057421875000000e+04,1.761000000000000000e+03
-2.664227734375000000e+04,1.756000000000000000e+03
-2.515398046875000000e+04,1.673000000000000000e+03
-2.366568750000000000e+04,1.668000000000000000e+03
-2.217739062500000000e+04,1.657000000000000000e+03
-2.068909375000000000e+04,1.584000000000000000e+03
-1.920079687500000000e+04,1.497000000000000000e+03
-1.771250390625000000e+04,1.491000000000000000e+03
-1.622420703125000000e+04,1.446000000000000000e+03
-1.473591015625000000e+04,1.499000000000000000e+03
-1.324761718750000000e+04,1.434000000000000000e+03
-1.175932031250000000e+04,1.459000000000000000e+03
-1.027102343750000000e+04,1.443000000000000000e+03
-8.782726562500000000e+03,1.441000000000000000e+03
-7.294429687500000000e+03,1.402000000000000000e+03
-5.806132812500000000e+03,1.435000000000000000e+03
-4.317843750000000000e+03,1.464000000000000000e+03
-2.829546875000000000e+03,1.422000000000000000e+03
-1.341250000000000000e+03,1.483000000000000000e+03
1.470468750000000000e+02,1.462000000000000000e+03
1.635343750000000000e+03,1.393000000000000000e+03
3.123640625000000000e+03,1.467000000000000000e+03
4.611937500000000000e+03,1.444000000000000000e+03
6.100226562500000000e+03,1.419000000000000000e+03
7.588523437500000000e+03,1.519000000000000000e+03
9.076820312500000000e+03,1.457000000000000000e+03
1.056511718750000000e+04,1.456000000000000000e+03
1.205341406250000000e+04,1.413000000000000000e+03
1.354171093750000000e+04,1.470000000000000000e+03
1.503000781250000000e+04,1.482000000000000000e+03
1.651829687500000000e+04,1.460000000000000000e+03
1.800659375000000000e+04,1.431000000000000000e+03
1.949489062500000000e+04,1.481000000000000000e+03
2.098318750000000000e+04,1.562000000000000000e+03
2.247148437500000000e+04,1.663000000000000000e+03
2.395978125000000000e+04,1.698000000000000000e+03
2.544807812500000000e+04,1.733000000000000000e+03
2.693636718750000000e+04,1.618000000000000000e+03
2.842466406250000000e+04,1.738000000000000000e+03
2.991296093750000000e+04,1.725000000000000000e+03
3.140125781250000000e+04,1.710000000000000000e+03
3.288955468750000000e+04,1.635000000000000000e+03
3.437785156250000000e+04,1.698000000000000000e+03
3.586614843750000000e+04,1.626000000000000000e+03
3.735443750000000000e+04,1.626000000000000000e+03
3.884273437500000000e+04,1.552000000000000000e+03
4.033103125000000000e+04,1.479000000000000000e+03
4.181932812500000000e+04,1.545000000000000000e+03
4.330762500000000000e+04,1.464000000000000000e+03
4.479592187500000000e+04,1.501000000000000000e+03
4.628421875000000000e+04,1.584000000000000000e+03
4.777250781250000000e+04,1.443000000000000000e+03
4.926080468750000000e+04,1.347000000000000000e+03
5.074910156250000000e+04,1.216000000000000000e+03
5.223739843750000000e+04,1.086000000000000000e+03
5.372569531250000000e+04,9.210000000000000000e+02
5.521399218750000000e+04,8.220000000000000000e+02
5.670228906250000000e+04,6.660000000000000000e+02
5.819058593750000000e+04,5.360000000000000000e+02
5.967888281250000000e+04,4.530000000000000000e+02
6.116717968750000000e+04,3.130000000000000000e+02
6.265547656250000000e+04,2.280000000000000000e+02
6.414375781250000000e+04,1.130000000000000000e+02
6.563205468750000000e+04,6.600000000000000000e+01
6.712035156250000000e+04,1.500000000000000000e+01
6.860864843750000000e+04,3.000000000000000000e+00
7.009694531250000000e+04,0.000000000000000000e+00
7.158524218750000000e+04,0.000000000000000000e+00
7.307353906250000000e+04,0.000000000000000000e+00
