X,Y
-1.472728320312500000e+04,0.000000000000000000e+00
-1.443466406250000000e+04,0.000000000000000000e+00
-1.414204492187500000e+04,0.000000000000000000e+00
-1.384942578125000000e+04,1.000000000000000000e+00
-1.355680566406250000e+04,1.000000000000000000e+00
-1.326418652343750000e+04,3.000000000000000000e+00
-1.297156738281250000e+04,3.000000000000000000e+00
-1.267894824218750000e+04,9.000000000000000000e+00
-1.238632910156250000e+04,9.000000000000000000e+00
-1.209370898437500000e+04,2.500000000000000000e+01
-1.180108984375000000e+04,3.900000000000000000e+01
-1.150847070312500000e+04,5.200000000000000000e+01
-1.121585156250000000e+04,8.200000000000000000e+01
-1.092323242187500000e+04,9.900000000000000000e+01
-1.063061328125000000e+04,1.180000000000000000e+02
-1.033799414062500000e+04,1.330000000000000000e+02
-1.004537500000000000e+04,1.470000000000000000e+02
-9.752755859375000000e+03,1.400000000000000000e+02
-9.460135742187500000e+03,1.320000000000000000e+02
-9.167516601562500000e+03,1.430000000000000000e+02
-8.874897460937500000e+03,1.300000000000000000e+02
-8.582277343750000000e+03,1.450000000000000000e+02
-8.289658203125000000e+03,1.330000000000000000e+02
-7.997039550781250000e+03,1.380000000000000000e+02
-7.704419921875000000e+03,1.520000000000000000e+02
-7.411800781250000000e+03,1.370000000000000000e+02
-7.119181640625000000e+03,1.370000000000000000e+02
-6.826562500000000000e+03,1.550000000000000000e+02
-6.533943359375000000e+03,1.470000000000000000e+02
-6.241323242187500000e+03,1.300000000000000000e+02
-5.948704101562500000e+03,1.240000000000000000e+02
-5.656084960937500000e+03,1.470000000000000000e+02
-5.363465820312500000e+03,1.390000000000000000e+02
-5.070846679687500000e+03,1.470000000000000000e+02
-4.778227539062500000e+03,1.590000000000000000e+02
-4.485608398437500000e+03,1.760000000000000000e+02
-4.192988281250000000e+03,1.400000000000000000e+02
-3.900369140625000000e+03,1.460000000000000000e+02
-3.607750000000000000e+03,1.740000000000000000e+02
-3.315130859375000000e+03,1.470000000000000000e+02
-3.022511718750000000e+03,1.570000000000000000e+02
-2.729892578125000000e+03,1.670000000000000000e+02
-2.437272460937500000e+03,1.600000000000000000e+02
-2.144653320312500000e+03,1.330000000000000000e+02
-1.852034179687500000e+03,1.320000000000000000e+02
-1.559415039062500000e+03,1.440000000000000000e+02
-1.266795898437500000e+03,1.300000000000000000e+02
-9.741767578125000000e+02,1.540000000000000000e+02
-6.815566406250000000e+02,1.330000000000000000e+02
-3.889375000000000000e+02,1.360000000000000000e+02
-9.631835937500000000e+01,1.480000000000000000e+02
1.963007812500000000e+02,1.650000000000000000e+02
4.889199218750000000e+02,1.350000000000000000e+02
7.815390625000000000e+02,1.520000000000000000e+02
1.074158203125000000e+03,1.580000000000000000e+02
1.366778320312500000e+03,1.130000000000000000e+02
1.659396484375000000e+03,1.600000000000000000e+02
1.952015625000000000e+03,1.530000000000000000e+02
2.244636718750000000e+03,1.400000000000000000e+02
2.537255859375000000e+03,1.460000000000000000e+02
2.829875000000000000e+03,1.360000000000000000e+02
3.122494140625000000e+03,1.610000000000000000e+02
3.415113281250000000e+03,1.250000000000000000e+02
3.707732421875000000e+03,1.430000000000000000e+02
4.000351562500000000e+03,1.340000000000000000e+02
4.292970703125000000e+03,1.350000000000000000e+02
4.585589843750000000e+03,1.550000000000000000e+02
4.878208984375000000e+03,1.540000000000000000e+02
5.170828125000000000e+03,1.620000000000000000e+02
5.463447265625000000e+03,1.410000000000000000e+02
5.756066406250000000e+03,1.590000000000000000e+02
6.048687500000000000e+03,1.300000000000000000e+02
6.341306640625000000e+03,1.400000000000000000e+02
6.633925781250000000e+03,1.320000000000000000e+02
6.926544921875000000e+03,1.480000000000000000e+02
7.219164062500000000e+03,1.400000000000000000e+02
7.511783203125000000e+03,1.450000000000000000e+02
7.804402343750000000e+03,1.330000000000000000e+02
8.097021484375000000e+03,1.360000000000000000e+02
8.389640625000000000e+03,1.330000000000000000e+02
8.682259765625000000e+03,1.550000000000000000e+02
8.974878906250000000e+03,1.380000000000000000e+02
9.267498046875000000e+03,1.260000000000000000e+02
9.560117187500000000e+03,1.380000000000000000e+02
9.852738281250000000e+03,1.600000000000000000e+02
1.014535742187500000e+04,1.170000000000000000e+02
1.043797656250000000e+04,1.190000000000000000e+02
1.073059570312500000e+04,1.040000000000000000e+02
1.102321484375000000e+04,7.400000000000000000e+01
1.131583398437500000e+04,6.300000000000000000e+01
1.160845312500000000e+04,3.100000000000000000e+01
1.190107226562500000e+04,9.000000000000000000e+00
1.219369140625000000e+04,4.000000000000000000e+00
1.248631054687500000e+04,1.000000000000000000e+00
1.277892968750000000e+04,1.000000000000000000e+00
1.307154882812500000e+04,2.000000000000000000e+00
1.336416992187500000e+04,0.000000000000000000e+00
1.365678906250000000e+04,0.000000000000000000e+00
1.394940820312500000e+04,0.000000000000000000e+00
1.424202734375000000e+04,0.000000000000000000e+00
