Photon Energy [eV],Flux [Photons/s/0.1%bw]
3.579559118236472568e+04,1.925997697177682190e+11
3.615430861723447015e+04,1.885435447159687500e+11
3.651302605210420734e+04,1.845513751433840027e+11
3.687174348697394453e+04,1.806234224713428650e+11
3.723046092184368899e+04,1.767597682299230957e+11
3.758917835671342618e+04,1.729604046983447571e+11
3.794789579158316337e+04,1.692252456837788086e+11
3.830661322645290056e+04,1.655541327850829468e+11
3.866533066132264503e+04,1.619468447540977478e+11
3.902404809619238222e+04,1.584030890685744019e+11
3.938276553106211941e+04,1.549225274427005310e+11
3.974148296593186387e+04,1.515047671507570801e+11
4.010020040080160106e+04,1.481493462484816895e+11
4.045891783567133825e+04,1.448557537801734619e+11
4.081763527054108272e+04,1.416235299329645386e+11
4.117635270541081991e+04,1.384521230307302551e+11
4.153507014028055710e+04,1.353409396655818939e+11
4.189378757515030156e+04,1.322893667938253784e+11
4.225250501002003875e+04,1.292967622177922363e+11
4.261122244488977594e+04,1.263624603745602570e+11
4.296993987975952041e+04,1.234857748768503265e+11
4.332865731462925760e+04,1.206660008800629425e+11
4.368737474949899479e+04,1.179024172884686279e+11
4.404609218436873925e+04,1.151942917761938171e+11
4.440480961923847644e+04,1.125408710226226349e+11
4.476352705410821363e+04,1.099413997483502960e+11
4.512224448897795082e+04,1.073951110410542603e+11
4.548096192384769529e+04,1.049012306906158600e+11
4.583967935871743248e+04,1.024589786248369904e+11
4.619839679358716967e+04,1.000675702421722565e+11
4.655711422845691413e+04,9.772621765101745605e+10
4.691583166332665132e+04,9.543413309678213501e+10
4.727454909819638851e+04,9.319052105740269470e+10
4.763326653306613298e+04,9.099459249639308167e+10
4.799198396793587017e+04,8.884555706052029419e+10
4.835070140280560736e+04,8.674262607637210083e+10
4.870941883767535182e+04,8.468501333464175415e+10
4.906813627254508901e+04,8.267193581247630310e+10
4.942685370741482620e+04,8.070261434203390503e+10
4.978557114228456339e+04,7.877627612867410278e+10
5.014428857715430786e+04,7.689215336392312622e+10
5.050300601202404505e+04,7.504948546987463379e+10
5.086172344689378224e+04,7.324750513820770264e+10
5.122044088176352670e+04,7.148546033376615906e+10
5.157915831663326389e+04,6.976260594550518799e+10
5.193787575150300108e+04,6.807820413865303802e+10
5.229659318637274555e+04,6.643152471559847260e+10
5.265531062124248274e+04,6.482184524134565735e+10
5.301402805611221993e+04,6.324845153351659393e+10
5.337274549098196439e+04,6.171063774763867188e+10
5.373146292585170158e+04,6.020770661629034424e+10
5.409018036072143877e+04,5.873896963320180511e+10
5.444889779559118324e+04,5.730374721039411163e+10
5.480761523046092043e+04,5.590136982073423767e+10
5.516633266533065762e+04,5.453117416217885590e+10
5.552505010020040208e+04,5.319250910838645172e+10
5.588376753507013927e+04,5.188473194507331848e+10
5.624248496993987646e+04,5.060720938595912933e+10
5.660120240480961365e+04,4.935931724497337341e+10
5.695991983967935812e+04,4.814044198715831757e+10
5.731863727454909531e+04,4.694997849830693817e+10
5.767735470941883250e+04,4.578733159522393036e+10
5.803607214428857696e+04,4.465191479637767029e+10
5.839478957915831415e+04,4.354315371270177460e+10
5.875350701402805134e+04,4.246048097538508606e+10
5.911222444889779581e+04,4.140333875248653412e+10
5.947094188376753300e+04,4.037118105006024933e+10
5.982965931863727019e+04,3.936346787859655762e+10
6.018837675350701466e+04,3.837974391925447083e+10
6.054709418837675184e+04,3.741964605378050995e+10
6.090581162324648903e+04,3.648214929257347107e+10
6.126452905811622622e+04,3.556703991293827057e+10
6.162324649298597069e+04,3.467382617153246307e+10
6.198196392785570788e+04,3.380202533552182007e+10
6.234068136272544507e+04,3.295116360123643112e+10
6.269939879759518954e+04,3.212077600870802689e+10
6.305811623246492672e+04,3.131040635246078491e+10
6.341683366733466391e+04,3.051960708890602112e+10
6.377555110220440838e+04,2.974793924067064285e+10
6.413426853707414557e+04,2.899497229816952133e+10
6.449298597194388276e+04,2.826028411871310043e+10
6.485170340681362723e+04,2.754346082342480850e+10
6.521042084168336442e+04,2.684409669222541809e+10
6.556913827655310160e+04,2.616179405712632370e+10
6.592785571142284607e+04,2.549616319405899429e+10
6.628657314629259054e+04,2.484682221345330811e+10
6.664529058116232045e+04,2.421339694976504517e+10
6.700400801603206492e+04,2.359552085013928986e+10
6.736272545090179483e+04,2.299283486238579178e+10
6.772144288577153930e+04,2.240498732242987442e+10
6.808016032064128376e+04,2.183163384139325714e+10
6.843887775551101367e+04,2.127243719244779968e+10
6.879759519038075814e+04,2.072706719757667160e+10
6.915631262525050261e+04,2.019520061436811066e+10
6.951503006012023252e+04,1.967652102295845413e+10
6.987374749498997699e+04,1.917071871323314285e+10
7.023246492985972145e+04,1.867749057238690948e+10
7.059118236472945136e+04,1.819653997293717194e+10
7.094989979959919583e+04,1.772757666127762222e+10
7.130861723446894030e+04,1.727031664685329819e+10
7.166733466933867021e+04,1.682448209203144836e+10
7.202605210420841468e+04,1.638980120273745346e+10
7.238476953907815914e+04,1.596600811991971207e+10
7.274348697394788906e+04,1.555284281190171242e+10
7.310220440881763352e+04,1.515005096767515755e+10
7.346092184368737799e+04,1.475738389118377876e+10
7.381963927855710790e+04,1.437459839664207649e+10
7.417835671342685237e+04,1.400145670493056679e+10
7.453707414829659683e+04,1.363772634110428429e+10
7.489579158316632675e+04,1.328318003304809380e+10
7.525450901803607121e+04,1.293759561130881691e+10
7.561322645290580112e+04,1.260075591013147163e+10
7.597194388777554559e+04,1.227244866972294617e+10
7.633066132264529006e+04,1.195246643976470184e+10
7.668937875751501997e+04,1.164060648419254684e+10
7.704809619238476444e+04,1.133667068725952911e+10
7.740681362725450890e+04,1.104046546089552879e+10
7.776553106212423882e+04,1.075180165337467384e+10
7.812424849699398328e+04,1.047049445929998779e+10
7.848296593186372775e+04,1.019636333091250801e+10
7.884168336673345766e+04,9.929231890730274200e+09
7.920040080160320213e+04,9.668927845520883560e+09
7.955911823647294659e+04,9.415282901609945297e+09
7.991783567134267651e+04,9.168132681525779724e+09
8.027655310621242097e+04,8.927317000434762955e+09
8.063527054108216544e+04,8.692678783952672958e+09
8.099398797595189535e+04,8.464064795596218109e+09
8.135270541082163982e+04,8.241325509183095932e+09
8.171142284569138428e+04,8.024314919123358727e+09
8.207014028056111420e+04,7.812890464910104752e+09
8.242885771543085866e+04,7.606912956924733162e+09
8.278757515030060313e+04,7.406246503548105240e+09
8.314629258517033304e+04,7.210758439567794800e+09
8.350501002004007751e+04,7.020319255871253967e+09
8.386372745490982197e+04,6.834802530414006233e+09
8.422244488977955189e+04,6.654084860451226234e+09
8.458116232464929635e+04,6.478045796020739555e+09
8.493987975951904082e+04,6.306567774664952278e+09
8.529859719438877073e+04,6.139536057378568649e+09
8.565731462925851520e+04,5.976838665768836021e+09
8.601603206412825966e+04,5.818366320414591789e+09
8.637474949899798958e+04,5.664012380409884453e+09
8.673346693386773404e+04,5.513672784077893257e+09
8.709218436873747851e+04,5.367245990840586662e+09
8.745090180360720842e+04,5.224632924229074478e+09
8.780961923847695289e+04,5.085736916019743919e+09
8.816833667334668280e+04,4.950463651480915070e+09
8.852705410821642727e+04,4.818721115714582443e+09
8.888577154308617173e+04,4.690419541077858925e+09
8.924448897795590165e+04,4.565471355668419838e+09
8.960320641282564611e+04,4.443791132858326912e+09
8.996192384769539058e+04,4.325295541860540390e+09
9.032064128256512049e+04,4.209903299312312603e+09
9.067935871743486496e+04,4.097535121859693527e+09
9.103807615230460942e+04,3.988113679727406979e+09
9.139679358717433934e+04,3.881563551258310318e+09
9.175551102204408380e+04,3.777811178406683922e+09
9.211422845691382827e+04,3.676784823169723511e+09
9.247294589178355818e+04,3.578414524941528320e+09
9.283166332665330265e+04,3.482632058774063110e+09
9.319038076152304711e+04,3.389370894529636860e+09
9.354909819639277703e+04,3.298566156909420013e+09
9.390781563126252149e+04,3.210154586342766762e+09
9.426653306613226596e+04,3.124074500722155094e+09
9.462525050100199587e+04,3.040265757968639851e+09
9.498396793587174034e+04,2.958669719412866592e+09
9.534268537074148480e+04,2.879229213976896763e+09
9.570140280561121472e+04,2.801888503142071247e+09
9.606012024048095918e+04,2.726593246688433647e+09
9.641883767535070365e+04,2.653290469191323280e+09
9.677755511022043356e+04,2.581928527260881901e+09
9.713627254509017803e+04,2.512457077510388851e+09
9.749498997995992249e+04,2.444827045239572048e+09
9.785370741482965241e+04,2.378990593819059849e+09
9.821242484969939687e+04,2.314901094762446880e+09
9.857114228456912679e+04,2.252513098472569466e+09
9.892985971943887125e+04,2.191782305648700714e+09
9.928857715430861572e+04,2.132665539341684103e+09
9.964729458917834563e+04,2.075120717644055128e+09
1.000060120240480901e+05,2.019106825474344492e+09
1.003647294589178346e+05,1.964583832750407457e+09
1.007234468937875645e+05,1.911512849840664148e+09
1.010821643286573089e+05,1.859855914471829176e+09
1.014408817635270534e+05,1.809576031886488676e+09
1.017995991983967833e+05,1.760637151088901043e+09
1.021583166332665278e+05,1.713004141640277863e+09
1.025170340681362723e+05,1.666642770992187738e+09
1.028757515030060022e+05,1.621519682346791029e+09
