#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 1.731663326653e+04   5.918455809250e+13   9.482411606943e-03  
 1.743486973948e+04   5.856954521224e+13   9.383875680306e-03  
 1.755310621242e+04   5.796177731771e+13   9.286500528355e-03  
 1.767134268537e+04   5.736114194462e+13   9.190268132323e-03  
 1.778957915832e+04   5.676752871033e+13   9.095160806962e-03  
 1.790781563126e+04   5.618082982990e+13   9.001161283220e-03  
 1.802605210421e+04   5.560094068885e+13   8.908252800010e-03  
 1.814428857715e+04   5.502775714997e+13   8.816418672711e-03  
 1.826252505010e+04   5.446117934669e+13   8.725642900935e-03  
 1.838076152305e+04   5.390110905089e+13   8.635909746802e-03  
 1.849899799599e+04   5.334745023136e+13   8.547203824416e-03  
 1.861723446894e+04   5.280010966313e+13   8.459510197491e-03  
 1.873547094188e+04   5.225899416656e+13   8.372813937001e-03  
 1.885370741483e+04   5.172401453967e+13   8.287100751214e-03  
 1.897194388778e+04   5.119508285691e+13   8.202356552903e-03  
 1.909018036072e+04   5.067211306168e+13   8.118567554282e-03  
 1.920841683367e+04   5.015502160343e+13   8.035720369078e-03  
 1.932665330661e+04   4.964372462880e+13   7.953801562499e-03  
 1.944488977956e+04   4.913814201632e+13   7.872798297672e-03  
 1.956312625251e+04   4.863819462572e+13   7.792697894927e-03  
 1.968136272545e+04   4.814380491646e+13   7.713487930901e-03  
 1.979959919840e+04   4.765489760398e+13   7.635156343675e-03  
 1.991783567134e+04   4.717139682459e+13   7.557690978550e-03  
 2.003607214429e+04   4.669323023462e+13   7.481080244790e-03  
 2.015430861723e+04   4.622032623163e+13   7.405312670417e-03  
 2.027254509018e+04   4.575261459100e+13   7.330377004211e-03  
 2.039078156313e+04   4.529002642642e+13   7.256262209365e-03  
 2.050901803607e+04   4.483249488514e+13   7.182957574890e-03  
 2.062725450902e+04   4.437995220557e+13   7.110452244180e-03  
 2.074549098196e+04   4.393233400012e+13   7.038735901208e-03  
 2.086372745491e+04   4.348957636876e+13   6.967798308059e-03  
 2.098196392786e+04   4.305161657287e+13   6.897629412899e-03  
 2.110020040080e+04   4.261839300364e+13   6.828219344906e-03  
 2.121843687375e+04   4.218984590638e+13   6.759558530326e-03  
 2.133667334669e+04   4.176591435934e+13   6.691637208418e-03  
 2.145490981964e+04   4.134654069284e+13   6.624446139480e-03  
 2.157314629259e+04   4.093166752319e+13   6.557976129632e-03  
 2.169138276553e+04   4.052123845458e+13   6.492218143267e-03  
 2.180961923848e+04   4.011519805357e+13   6.427163298972e-03  
 2.192785571142e+04   3.971349182462e+13   6.362802865596e-03  
 2.204609218437e+04   3.931606698097e+13   6.299128385769e-03  
 2.216432865731e+04   3.892286927077e+13   6.236131167387e-03  
 2.228256513026e+04   3.853384764065e+13   6.173803030796e-03  
 2.240080160321e+04   3.814895111718e+13   6.112135809155e-03  
 2.251903807615e+04   3.776812955400e+13   6.051121468130e-03  
 2.263727454910e+04   3.739133361186e+13   5.990752102702e-03  
 2.275551102204e+04   3.701851473931e+13   5.931019934071e-03  
 2.287374749499e+04   3.664962597891e+13   5.871917438824e-03  
 2.299198396794e+04   3.628461867758e+13   5.813436821882e-03  
 2.311022044088e+04   3.592344733570e+13   5.755570793399e-03  
 2.322845691383e+04   3.556606637259e+13   5.698312050545e-03  
 2.334669338677e+04   3.521243090793e+13   5.641653402703e-03  
 2.346492985972e+04   3.486249674612e+13   5.585587768954e-03  
 2.358316633267e+04   3.451622036082e+13   5.530108175610e-03  
 2.370140280561e+04   3.417355972426e+13   5.475207889082e-03  
 2.381963927856e+04   3.383447094398e+13   5.420879877019e-03  
 2.393787575150e+04   3.349891323191e+13   5.367117604456e-03  
 2.405611222445e+04   3.316684559529e+13   5.313914503626e-03  
 2.417434869739e+04   3.283822764099e+13   5.261264102837e-03  
 2.429258517034e+04   3.251301956284e+13   5.209160024437e-03  
 2.441082164329e+04   3.219118212937e+13   5.157595982851e-03  
 2.452905811623e+04   3.187267667186e+13   5.106565782669e-03  
 2.464729458918e+04   3.155746595109e+13   5.056063457509e-03  
 2.476553106212e+04   3.124551066031e+13   5.006082709735e-03  
 2.488376753507e+04   3.093677460271e+13   4.956617739979e-03  
 2.500200400802e+04   3.063122124831e+13   4.907662695493e-03  
 2.512024048096e+04   3.032881457537e+13   4.859211804958e-03  
 2.523847695391e+04   3.002951906039e+13   4.811259376882e-03  
 2.535671342685e+04   2.973329966841e+13   4.763799798044e-03  
 2.547494989980e+04   2.944012184358e+13   4.716827531990e-03  
 2.559318637275e+04   2.914995150005e+13   4.670337117561e-03  
 2.571142284569e+04   2.886275593899e+13   4.624323315830e-03  
 2.582965931864e+04   2.857850016371e+13   4.578780519705e-03  
 2.594789579158e+04   2.829715234480e+13   4.533703629558e-03  
 2.606613226453e+04   2.801868018961e+13   4.489087471531e-03  
 2.618436873747e+04   2.774305183331e+13   4.444926940317e-03  
 2.630260521042e+04   2.747023583106e+13   4.401216997900e-03  
 2.642084168337e+04   2.720020115055e+13   4.357952672352e-03  
 2.653907815631e+04   2.693291716455e+13   4.315129056649e-03  
 2.665731462926e+04   2.666835364377e+13   4.272741307529e-03  
 2.677555110220e+04   2.640648170808e+13   4.230784797884e-03  
 2.689378757515e+04   2.614727001441e+13   4.189254505997e-03  
 2.701202404810e+04   2.589069041748e+13   4.148145922501e-03  
 2.713026052104e+04   2.563671421165e+13   4.107454448244e-03  
 2.724849699399e+04   2.538531305603e+13   4.067175542514e-03  
 2.736673346693e+04   2.513645896827e+13   4.027304722046e-03  
 2.748496993988e+04   2.489012431859e+13   3.987837560061e-03  
 2.760320641283e+04   2.464628182393e+13   3.948769685328e-03  
 2.772144288577e+04   2.440490454220e+13   3.910096781252e-03  
 2.783967935872e+04   2.416596586670e+13   3.871814584967e-03  
 2.795791583166e+04   2.392944052090e+13   3.833919046728e-03  
 2.807615230461e+04   2.369530057975e+13   3.796405692448e-03  
 2.819438877756e+04   2.346352138395e+13   3.759270571273e-03  
 2.831262525050e+04   2.323407761517e+13   3.722509626756e-03  
 2.843086172345e+04   2.300694426441e+13   3.686118852019e-03  
 2.854909819639e+04   2.278209662723e+13   3.650094288968e-03  
 2.866733466934e+04   2.255951029895e+13   3.614432027546e-03  
 2.878557114228e+04   2.233916116999e+13   3.579128204972e-03  
 2.890380761523e+04   2.212102542141e+13   3.544179005030e-03  
 2.902204408818e+04   2.190507952039e+13   3.509580657348e-03  
 2.914028056112e+04   2.169130021592e+13   3.475329436702e-03  
 2.925851703407e+04   2.147966558440e+13   3.441421830546e-03  
 2.937675350701e+04   2.127015085365e+13   3.407853869937e-03  
 2.949498997996e+04   2.106273461587e+13   3.374622124970e-03  
 2.961322645291e+04   2.085739470569e+13   3.341723044358e-03  
 2.973146292585e+04   2.065410921916e+13   3.309153118702e-03  
 2.984969939880e+04   2.045285650992e+13   3.276908879875e-03  
 2.996793587174e+04   2.025361518548e+13   3.244986900420e-03  
 3.008617234469e+04   2.005636410353e+13   3.213383792967e-03  
 3.020440881764e+04   1.986108236836e+13   3.182096209653e-03  
 3.032264529058e+04   1.966774932728e+13   3.151120841553e-03  
 3.044088176353e+04   1.947634456724e+13   3.120454418137e-03  
 3.055911823647e+04   1.928684791139e+13   3.090093706714e-03  
 3.067735470942e+04   1.909924052048e+13   3.060035688906e-03  
 3.079559118236e+04   1.891350049840e+13   3.030276856568e-03  
 3.091382765531e+04   1.872960943492e+13   3.000814260058e-03  
 3.103206412826e+04   1.854754806545e+13   2.971644812846e-03  
 3.115030060120e+04   1.836729734559e+13   2.942765463684e-03  
 3.126853707415e+04   1.818883844814e+13   2.914173196122e-03  
 3.138677354709e+04   1.801215276015e+13   2.885865028034e-03  
 3.150501002004e+04   1.783722187994e+13   2.857838011152e-03  
 3.162324649299e+04   1.766402761433e+13   2.830089230600e-03  
 3.174148296593e+04   1.749255197575e+13   2.802615804458e-03  
 3.185971943888e+04   1.732277717958e+13   2.775414883310e-03  
 3.197795591182e+04   1.715468564132e+13   2.748483649814e-03  
 3.209619238477e+04   1.698825997407e+13   2.721819318277e-03  
 3.221442885772e+04   1.682348414779e+13   2.695419320406e-03  
 3.233266533066e+04   1.666033886652e+13   2.669280564646e-03  
 3.245090180361e+04   1.649880845531e+13   2.643400539595e-03  
 3.256913827655e+04   1.633887629171e+13   2.617776582040e-03  
 3.268737474950e+04   1.618052593813e+13   2.592406058391e-03  
 3.280561122244e+04   1.602374113953e+13   2.567286364301e-03  
 3.292384769539e+04   1.586850582101e+13   2.542414924292e-03  
 3.304208416834e+04   1.571480408553e+13   2.517789191373e-03  
 3.316032064128e+04   1.556262021163e+13   2.493406646690e-03  
 3.327855711423e+04   1.541193865116e+13   2.469264799152e-03  
 3.339679358717e+04   1.526274402707e+13   2.445361185089e-03  
 3.351503006012e+04   1.511502113132e+13   2.421693367901e-03  
 3.363326653307e+04   1.496875492265e+13   2.398258937715e-03  
 3.375150300601e+04   1.482393052456e+13   2.375055511050e-03  
 3.386973947896e+04   1.468053444169e+13   2.352080925710e-03  
 3.398797595190e+04   1.453854971143e+13   2.329332463990e-03  
 3.410621242485e+04   1.439796313067e+13   2.306808010515e-03  
 3.422444889780e+04   1.425876046147e+13   2.284505284118e-03  
 3.434268537074e+04   1.412092762067e+13   2.262422028425e-03  
 3.446092184369e+04   1.398445067790e+13   2.240556011545e-03  
 3.457915831663e+04   1.384931585371e+13   2.218905025770e-03  
 3.469739478958e+04   1.371550951778e+13   2.197466887279e-03  
 3.481563126253e+04   1.358301818704e+13   2.176239435847e-03  
 3.493386773547e+04   1.345182852390e+13   2.155220534557e-03  
 3.505210420842e+04   1.332192733450e+13   2.134408069518e-03  
 3.517034068136e+04   1.319330156689e+13   2.113799949579e-03  
 3.528857715431e+04   1.306593830946e+13   2.093394106071e-03  
 3.540681362725e+04   1.293982478910e+13   2.073188492515e-03  
 3.552505010020e+04   1.281494836963e+13   2.053181084374e-03  
 3.564328657315e+04   1.269129782106e+13   2.033370082403e-03  
 3.576152304609e+04   1.256885826159e+13   2.013753102278e-03  
 3.587975951904e+04   1.244761870016e+13   1.994328383033e-03  
 3.599799599198e+04   1.232756703204e+13   1.975093985281e-03  
 3.611623246493e+04   1.220869128147e+13   1.956047990290e-03  
 3.623446893788e+04   1.209097960010e+13   1.937188499745e-03  
 3.635270541082e+04   1.197442026548e+13   1.918513635505e-03  
 3.647094188377e+04   1.185900167962e+13   1.900021539365e-03  
 3.658917835671e+04   1.174471236748e+13   1.881710372823e-03  
 3.670741482966e+04   1.163154097558e+13   1.863578316848e-03  
 3.682565130261e+04   1.151947627053e+13   1.845623571655e-03  
 3.694388777555e+04   1.140850713767e+13   1.827844356480e-03  
 3.706212424850e+04   1.129862257967e+13   1.810238909353e-03  
 3.718036072144e+04   1.118981171518e+13   1.792805486892e-03  
 3.729859719439e+04   1.108206377748e+13   1.775542364078e-03  
 3.741683366733e+04   1.097536811315e+13   1.758447834043e-03  
 3.753507014028e+04   1.086971418077e+13   1.741520207868e-03  
 3.765330661323e+04   1.076509289315e+13   1.724758029624e-03  
 3.777154308617e+04   1.066149126934e+13   1.708159219533e-03  
 3.788977955912e+04   1.055890041295e+13   1.691722352235e-03  
 3.800801603206e+04   1.045731021787e+13   1.675445808556e-03  
 3.812625250501e+04   1.035671068372e+13   1.659327986255e-03  
 3.824448897796e+04   1.025709191463e+13   1.643367299841e-03  
 3.836272545090e+04   1.015844411810e+13   1.627562180382e-03  
 3.848096192385e+04   1.006075760378e+13   1.611911075312e-03  
 3.859919839679e+04   9.964022782321e+12   1.596412448248e-03  
 3.871743486974e+04   9.868230164250e+12   1.581064778810e-03  
 3.883567134269e+04   9.773370358826e+12   1.565866562434e-03  
 3.895390781563e+04   9.679434072947e+12   1.550816310202e-03  
 3.907214428858e+04   9.586412110037e+12   1.535912548660e-03  
 3.919038076152e+04   9.494295368962e+12   1.521153819645e-03  
 3.930861723447e+04   9.403074842979e+12   1.506538680117e-03  
 3.942685370741e+04   9.312741618636e+12   1.492065701986e-03  
 3.954509018036e+04   9.223286874805e+12   1.477733471949e-03  
 3.966332665331e+04   9.134701881575e+12   1.463540591322e-03  
 3.978156312625e+04   9.046977999271e+12   1.449485675874e-03  
 3.989979959920e+04   8.960108112213e+12   1.435567585550e-03  
 4.001803607214e+04   8.874080916256e+12   1.421784509225e-03  
 4.013627254509e+04   8.788889444151e+12   1.408135330623e-03  
 4.025450901804e+04   8.704525407269e+12   1.394618721759e-03  
 4.037274549098e+04   8.620980602335e+12   1.381233368323e-03  
 4.049098196393e+04   8.538246910481e+12   1.367977969529e-03  
 4.060921843687e+04   8.456316296289e+12   1.354851237963e-03  
 4.072745490982e+04   8.375180806935e+12   1.341851899440e-03  
 4.084569138277e+04   8.294832571204e+12   1.328978692852e-03  
 4.096392785571e+04   8.215263798665e+12   1.316230370037e-03  
 4.108216432866e+04   8.136466778743e+12   1.303605695622e-03  
 4.120040080160e+04   8.058433879859e+12   1.291103446894e-03  
 4.131863727455e+04   7.981157548570e+12   1.278722413659e-03  
 4.143687374749e+04   7.904630308720e+12   1.266461398104e-03  
 4.155511022044e+04   7.828844760580e+12   1.254319214661e-03  
 4.167334669339e+04   7.753793580042e+12   1.242294689880e-03  
 4.179158316633e+04   7.679469517774e+12   1.230386662289e-03  
 4.190981963928e+04   7.605865398419e+12   1.218593982270e-03  
 4.202805611222e+04   7.532974119802e+12   1.206915511927e-03  
 4.214629258517e+04   7.460788652128e+12   1.195350124965e-03  
 4.226452905812e+04   7.389303555616e+12   1.183896949834e-03  
 4.238276553106e+04   7.318508933530e+12   1.172554400902e-03  
 4.250100200401e+04   7.248399459951e+12   1.161321624863e-03  
 4.261923847695e+04   7.178968386873e+12   1.150197540567e-03  
 4.273747494990e+04   7.110209034857e+12   1.139181077850e-03  
 4.285571142285e+04   7.042114792298e+12   1.128271177417e-03  
 4.297394789579e+04   6.974679114673e+12   1.117466790718e-03  
 4.309218436874e+04   6.907895523850e+12   1.106766879843e-03  
 4.321042084168e+04   6.841757607345e+12   1.096170417398e-03  
 4.332865731463e+04   6.776259017661e+12   1.085676386403e-03  
 4.344689378758e+04   6.711393471552e+12   1.075283780170e-03  
 4.356513026052e+04   6.647154749367e+12   1.064991602202e-03  
 4.368336673347e+04   6.583536694347e+12   1.054798866076e-03  
 4.380160320641e+04   6.520533211992e+12   1.044704595347e-03  
 4.391983967936e+04   6.458138269342e+12   1.034707823428e-03  
 4.403807615230e+04   6.396345894377e+12   1.024807593495e-03  
 4.415631262525e+04   6.335150175348e+12   1.015002958382e-03  
 4.427454909820e+04   6.274545260136e+12   1.005292980477e-03  
 4.439278557114e+04   6.214525355603e+12   9.956767316148e-04  
 4.451102204409e+04   6.155084727022e+12   9.861532929924e-04  
 4.462925851703e+04   6.096217697387e+12   9.767217550531e-04  
 4.474749498998e+04   6.037920246505e+12   9.673814736905e-04  
 4.486573146293e+04   5.980183639129e+12   9.581310493642e-04  
 4.498396793587e+04   5.923003940644e+12   9.489698516790e-04  
 4.510220440882e+04   5.866375699043e+12   9.398970071273e-04  
 4.522044088176e+04   5.810293517126e+12   9.309116509821e-04  
 4.533867735471e+04   5.754752051869e+12   9.220129271968e-04  
 4.545691382766e+04   5.699746013895e+12   9.131999883197e-04  
 4.557515030060e+04   5.645270166870e+12   9.044719953976e-04  
 4.569338677355e+04   5.591319326995e+12   8.958281178943e-04  
 4.581162324649e+04   5.537888362410e+12   8.872675335953e-04  
 4.592985971944e+04   5.484972192677e+12   8.787894285247e-04  
 4.604809619238e+04   5.432565788231e+12   8.703929968572e-04  
 4.616633266533e+04   5.380664169854e+12   8.620774408340e-04  
 4.628456913828e+04   5.329262408146e+12   8.538419706786e-04  
 4.640280561122e+04   5.278355622997e+12   8.456858045108e-04  
 4.652104208417e+04   5.227938983103e+12   8.376081682705e-04  
 4.663927855711e+04   5.178007705406e+12   8.296082956274e-04  
 4.675751503006e+04   5.128557054644e+12   8.216854279086e-04  
 4.687575150301e+04   5.079582342826e+12   8.138388140155e-04  
 4.699398797595e+04   5.031078928732e+12   8.060677103424e-04  
 4.711222444890e+04   4.983042217454e+12   7.983713807041e-04  
 4.723046092184e+04   4.935467659895e+12   7.907490962547e-04  
 4.734869739479e+04   4.888352440643e+12   7.832004059156e-04  
 4.746693386774e+04   4.841688751397e+12   7.757240586589e-04  
 4.758517034068e+04   4.795473839162e+12   7.683196134063e-04  
 4.770340681363e+04   4.749703333425e+12   7.609863699246e-04  
 4.782164328657e+04   4.704372907158e+12   7.537236349472e-04  
 4.793987975952e+04   4.659478276378e+12   7.465307221043e-04  
 4.805811623246e+04   4.615015199698e+12   7.394069518511e-04  
 4.817635270541e+04   4.570979477897e+12   7.323516513981e-04  
 4.829458917836e+04   4.527366953471e+12   7.253641546394e-04  
 4.841282565130e+04   4.484173510226e+12   7.184438020885e-04  
 4.853106212425e+04   4.441395072818e+12   7.115899408031e-04  
 4.864929859719e+04   4.399027606358e+12   7.048019243228e-04  
 4.876753507014e+04   4.357067116005e+12   6.980791126033e-04  
 4.888577154309e+04   4.315509646519e+12   6.914208719454e-04  
 4.900400801603e+04   4.274351281873e+12   6.848265749324e-04  
 4.912224448898e+04   4.233588144868e+12   6.782956003686e-04  
 4.924048096192e+04   4.193216396708e+12   6.718273332111e-04  
 4.935871743487e+04   4.153232236624e+12   6.654211645095e-04  
 4.947695390782e+04   4.113631901471e+12   6.590764913414e-04  
 4.959519038076e+04   4.074411665341e+12   6.527927167506e-04  
 4.971342685371e+04   4.035567839204e+12   6.465692496895e-04  
 4.983166332665e+04   3.997096770512e+12   6.404055049552e-04  
 4.994989979960e+04   3.958996614311e+12   6.343011869535e-04  
 5.006813627255e+04   3.921260274032e+12   6.282551586887e-04  
 5.018637274549e+04   3.883885949133e+12   6.222671316822e-04  
 5.030460921844e+04   3.846870129341e+12   6.163365435263e-04  
 5.042284569138e+04   3.810209339017e+12   6.104628373621e-04  
 5.054108216433e+04   3.773900136849e+12   6.046454618309e-04  
 5.065931863727e+04   3.737939115482e+12   5.988838710140e-04  
 5.077755511022e+04   3.702322901178e+12   5.931775243790e-04  
 5.089579158317e+04   3.667048153452e+12   5.875258867213e-04  
 5.101402805611e+04   3.632111564783e+12   5.819284281177e-04  
 5.113226452906e+04   3.597509860224e+12   5.763846238635e-04  
 5.125050100200e+04   3.563239797111e+12   5.708939544271e-04  
 5.136873747495e+04   3.529298164700e+12   5.654559053902e-04  
 5.148697394790e+04   3.495681783887e+12   5.600699674044e-04  
 5.160521042084e+04   3.462387506853e+12   5.547356361333e-04  
 5.172344689379e+04   3.429412216754e+12   5.494524122037e-04  
