-1	-4.50778927638523E-05
-0.999	-4.52833431997466E-05
-0.998	-4.54899483223372E-05
-0.997	-4.56977162850648E-05
-0.996	-4.59066543305463E-05
-0.995	-4.61167706537455E-05
-0.994	-4.63280728082795E-05
-0.993	-4.654056863359E-05
-0.992	-4.67542663185351E-05
-0.991	-4.69691736598055E-05
-0.99	-4.71852986714673E-05
-0.989	-4.74026497667904E-05
-0.988	-4.76212348985913E-05
-0.987	-4.7841062588306E-05
-0.986	-4.80621407965589E-05
-0.985	-4.8284477963413E-05
-0.984	-4.85080828952868E-05
-0.983	-4.87329637320066E-05
-0.982	-4.89591289306208E-05
-0.981	-4.91865877353221E-05
-0.98	-4.94153481056475E-05
-0.979	-4.96454193834575E-05
-0.978	-4.98768101321452E-05
-0.977	-5.01095292570441E-05
-0.976	-5.03435858210914E-05
-0.975	-5.0578988706931E-05
-0.974	-5.08157473599541E-05
-0.973	-5.10538708738229E-05
-0.972	-5.12933680410209E-05
-0.971	-5.15342489040371E-05
-0.97	-5.17765222498731E-05
-0.969	-5.20201980686639E-05
-0.968	-5.22652855708698E-05
-0.967	-5.25117943679576E-05
-0.966	-5.27597344580081E-05
-0.965	-5.30091152105311E-05
-0.964	-5.32599467861143E-05
-0.963	-5.35122389438781E-05
-0.962	-5.37660020037047E-05
-0.961	-5.40212454598164E-05
-0.96	-5.42779798647899E-05
-0.959	-5.45362156653308E-05
-0.958	-5.47959627965807E-05
-0.957	-5.50572318409582E-05
-0.956	-5.53200331442616E-05
-0.955	-5.55843774618462E-05
-0.954	-5.58502751725422E-05
-0.953	-5.61177371223576E-05
-0.952	-5.63867746041582E-05
-0.951	-5.66573978697943E-05
-0.95	-5.69296182178442E-05
-0.949	-5.72034465557686E-05
-0.948	-5.74788943682836E-05
-0.947	-5.77559726125914E-05
-0.946	-5.80346926923689E-05
-0.945	-5.83150661821363E-05
-0.944	-5.85971042839559E-05
-0.943	-5.88808190643089E-05
-0.942	-5.91662218571786E-05
-0.941	-5.94533249829414E-05
-0.94	-5.97421397114393E-05
-0.939	-6.00326783156535E-05
-0.938	-6.03249529049586E-05
-0.937	-6.06189755193579E-05
-0.936	-6.09147587710289E-05
-0.935	-6.1212314751185E-05
-0.934	-6.15116558628047E-05
-0.933	-6.18127950254087E-05
-0.932	-6.21157447970048E-05
-0.931	-6.2420517873559E-05
-0.93	-6.27271270936783E-05
-0.929	-6.3035585786668E-05
-0.928	-6.3345906729941E-05
-0.927	-6.36581031414727E-05
-0.926	-6.39721883411325E-05
-0.925	-6.42881759924606E-05
-0.924	-6.46060793558831E-05
-0.923	-6.49259121003708E-05
-0.922	-6.52476880392858E-05
-0.921	-6.55714211977702E-05
-0.92	-6.58971253828578E-05
-0.919	-6.62248143786536E-05
-0.918	-6.65545031800687E-05
-0.917	-6.68862051715836E-05
-0.916	-6.7219935564124E-05
-0.915	-6.75557085500535E-05
-0.914	-6.7893538794979E-05
-0.913	-6.82334410927202E-05
-0.912	-6.8575430513128E-05
-0.911	-6.89195216858894E-05
-0.91	-6.92657304837401E-05
-0.909	-6.96140716070368E-05
-0.908	-6.99645607216286E-05
-0.907	-7.03172133076889E-05
-0.906	-7.0672044978686E-05
-0.905	-7.10290716805098E-05
-0.904	-7.1388309155941E-05
-0.903	-7.17497736418354E-05
-0.902	-7.21134810433956E-05
-0.901	-7.24794480235797E-05
-0.9	-7.28476907701816E-05
-0.899	-7.32182263435135E-05
-0.898	-7.3591071002341E-05
-0.897	-7.39662417317699E-05
-0.896	-7.43437556822187E-05
-0.895	-7.47236295994496E-05
-0.894	-7.51058816853998E-05
-0.893	-7.54905286003781E-05
-0.892	-7.58775882351834E-05
-0.891	-7.62670782260242E-05
-0.89	-7.66590163858916E-05
-0.889	-7.70534210432747E-05
-0.888	-7.74503101432452E-05
-0.887	-7.78497019498728E-05
-0.886	-7.82516154580762E-05
-0.885	-7.86560688020464E-05
-0.884	-7.90630810866085E-05
-0.883	-7.94726712526307E-05
-0.882	-7.988485807372E-05
-0.881	-8.02996613934416E-05
-0.88	-8.07171004441499E-05
-0.879	-8.11371945467379E-05
-0.878	-8.15599642509234E-05
-0.877	-8.19854287476856E-05
-0.876	-8.24136084282918E-05
-0.875	-8.28445236476285E-05
-0.874	-8.32781947319398E-05
-0.873	-8.37146427224208E-05
-0.872	-8.41538879927565E-05
-0.871	-8.4595951727592E-05
-0.87	-8.50408550820119E-05
-0.869	-8.54886195049152E-05
-0.868	-8.59392664372626E-05
-0.867	-8.63928174235151E-05
-0.866	-8.68492948600302E-05
-0.865	-8.73087207406505E-05
-0.864	-8.77711169401716E-05
-0.863	-8.82365063619776E-05
-0.862	-8.87049112907113E-05
-0.861	-8.9176354896763E-05
-0.86	-8.96508604403143E-05
-0.859	-9.01284509889458E-05
-0.858	-9.06091497944676E-05
-0.857	-9.10929807253363E-05
-0.856	-9.15799677922931E-05
-0.855	-9.20701348738426E-05
-0.854	-9.25635064098783E-05
-0.853	-9.30601068338844E-05
-0.852	-9.35599611334795E-05
-0.851	-9.40630938935689E-05
-0.85	-9.45695303344413E-05
-0.849	-9.50792958769475E-05
-0.848	-9.5592416257875E-05
-0.847	-9.6108917124769E-05
-0.846	-9.66288246986953E-05
-0.845	-9.71521652452761E-05
-0.844	-9.7678964976986E-05
-0.843	-9.8209250824739E-05
-0.842	-9.87430499508868E-05
-0.841	-9.92803893407476E-05
-0.84	-9.98212964491025E-05
-0.839	-0.000100365799136
-0.838	-0.00010091392521
-0.837	-0.000101465703099
-0.836	-0.000102021160637
