Photon Energy [eV],[oe 1] Transmitivity 100umAl,[oe 2] Transmitivity 200umAl,[oe 3] Transmitivity 500umAl,[oe 2] Transmitivity 1mmAl,[oe 4] Transmitivity 10umCu,[oe 5] Transmitivity 20umCu,[oe 3] Transmitivity 50umCu,[oe 4] Transmitivity 10umFe,[oe 5] Transmitivity 50umFe,[oe 3] Transmitivity 75umPd,[oe 1] Transmitivity 5mmGraphite,[oe 2] Transmitivity 20mmGraphite,[oe 1] Transmitivity 700umCVD,[oe 4] Transmitivity 1mAir,[oe 1] Transmitivity_1.5mmSi,[oe 2] Transmitivity_25umMo
100,0,0,0,0,8.97795810740184E-212,0,0,2.80934254345506E-174,0,3.87068176583156E-197,0,0,0,0,0,5.8250996232173E-52
159.95995995996,0,0,0,0,2.7256001787751E-142,7.42889633453888E-284,0,1.64941668844024E-102,0,6.0917037406809E-193,0,0,0,0,0,2.36903261481659E-51
219.91991991992,0,0,0,0,6.20525650497213E-88,3.85052082924989E-175,0,2.54113477737179E-64,1.059592946696970989e-318,4.90254498151024E-193,0,0,0,0,0,9.52275779885651E-66
279.87987987988,6.0001725425495E-305,0,0,0,7.71129823864266E-60,5.94641205252933E-119,2.7267008914109E-296,1.90005081277275E-43,2.47643011627789E-214,1.15278210764113E-166,0,0,6.04092728939875E-275,8.65657787634188E-256,0,1.91175453210407E-226
339.83983983984,5.11398814648353E-198,0,0,0,1.15120213532793E-42,1.32526635638358E-84,2.02189190010738E-210,5.18738916833382E-31,3.75616061229413E-152,8.19199025474921E-166,0,0,0,1.7230220740714E-165,0,7.05984673609835E-268
399.7997997998,1.38092481386279E-136,1.90695334154199E-272,0,0,9.90835934314253E-32,9.81755848728399E-63,9.55011811777331E-156,3.50035528440125E-23,5.25485378452637E-113,0,0,0,0,2.44881622428136E-113,0,9.08001603410456E-250
459.75975975976,1.34261609487863E-97,1.80261797822714E-194,0,0,3.47207084529271E-25,1.20552759547316E-49,5.04594939136513E-123,8.27439298105833E-18,3.87865111365005E-86,0,0,0,0,0,0,1.46671242036875E-217
519.71971971972,1.18355603333727E-72,1.40080488404906E-144,0,0,3.29842027368915E-20,1.08795763018836E-39,3.90418111088131E-98,4.2771238671445E-14,1.43139382342243E-67,0,0,0,0,0,0,1.10649458497999E-190
579.67967967968,8.62946941272667E-56,7.44677423451852E-111,4.78542449870472E-276,0,4.86680710880713E-16,2.36858114343356E-31,2.73036475192891E-77,2.28712987209514E-11,6.25826762530793E-54,0,0,0,0,0,0,3.4176961815339E-156
639.63963963964,8.89382700544526E-44,7.91001588027874E-87,5.56472091822311E-216,0,1.12907242437336E-12,1.27480453948034E-24,1.83488564584678E-60,2.22515919547587E-09,5.45513417095874E-44,0,0,0,0,0,0,4.2696417344428E-129
699.5995995996,4.72161534973132E-35,2.22936515108184E-69,2.34667539703575E-172,0,4.07965963407984E-10,1.66436227299405E-19,1.1301072396885E-47,7.26715752698619E-08,2.02685589091215E-36,0,0,0,0,0,0,4.1131815982107E-108
759.55955955956,1.50433816873133E-28,2.26303332590194E-56,7.70419690078137E-140,5.93546498860093E-279,3.87542665542586E-09,1.50189317615852E-17,8.74173446073121E-43,2.91721748225538E-49,2.11273018719006E-243,0,0,0,0,0,0,1.82907948059618E-91
819.51951951952,1.25016239672729E-23,1.56290601819092E-46,3.05374070958362E-115,9.32533232136827E-230,5.79524429354188E-08,3.35848564218298E-15,6.53670280525836E-37,2.00584327924842E-41,3.2470201845025E-204,0,0,0,0,2.11824746526223E-303,0,3.89327569122296E-78
879.47947947948,8.03409349790583E-20,6.45466583330927E-39,3.34722115708419E-96,1.12038894744321E-191,1.99706091098162E-06,3.98825228217073E-12,3.17655629232732E-29,1.27745049051717E-40,3.40189094337855E-200,1.10697943292109E-282,0,0,0,4.6618897638712E-255,1.615806156581891462e-315,4.36929349364144E-67
939.439439439439,6.3797849066693E-17,4.07016554553655E-33,1.05689096194937E-81,1.11701850545027E-162,4.81872763295123E-23,2.32201360005678E-45,2.59813610242304E-112,1.36032217085656E-35,4.65810079408877E-175,4.37943602371489E-264,0,0,7.81811647110268E-278,6.08609851554639E-217,3.62678117157137E-272,2.50488664025245E-60
999.399399399399,1.22288293478391E-14,1.49544267218571E-28,2.73479276637217E-70,7.47909147500155E-140,8.55352705121124E-42,7.31628250158023E-83,4.57853107407736E-206,7.89286474244547E-32,3.0631855349057E-156,9.07604984403491E-257,0,0,2.52959703574505E-236,2.05956532940928E-186,2.51302027186763E-239,1.29453144401037E-55
1059.35935935936,1.22704526026156E-12,1.50564007073036E-24,2.78165273455805E-60,7.73759193567426E-120,6.43538611831563E-36,4.14141944918096E-71,1.10375592225165E-176,9.67597623635281E-28,8.4815253691257E-136,5.84985507117425E-225,0,0,1.0035875216535E-200,2.51985266314336E-159,3.34704347392503E-205,1.10682682764484E-48
1119.31931931932,5.1955417194716E-11,2.69936537587699E-21,3.78576962604615E-52,1.43320516614936E-103,2.33528333069248E-35,5.45354823461018E-70,6.9454101382247E-174,2.29893283091845E-24,6.42142496681109E-119,2.44914881783508E-198,0,0,5.29832137634651E-172,2.48703033238923E-137,2.11119960496887E-177,6.47053789365936E-43
1179.27927927928,1.12596771971646E-09,1.26780330584349E-18,1.80979631540452E-45,3.27536270325177E-90,2.7116778438714E-31,7.35319672894305E-62,1.46619070967384E-153,1.48143129855932E-21,7.13522346733525E-105,4.94479895786773E-176,0,0,1.46669793591615E-148,2.83016919329372E-119,1.48121890984176E-154,4.30909363149468E-38
1239.23923923924,1.44422832653401E-08,2.08579545916323E-16,6.283176999476E-40,3.94783132067442E-79,7.1316002306288E-28,5.08597218495048E-55,1.84473909507827E-136,3.39065718592377E-19,4.48145884204224E-93,3.56310091035688E-157,0,0,3.21578599418661E-129,2.71146488767911E-104,1.36320288092107E-135,5.07769767750734E-34
1299.1991991992,1.22230540967302E-07,1.49403051451592E-14,2.72834112511997E-35,7.44384529502093E-70,5.68492555458001E-25,3.23183785611168E-49,5.93777735860644E-122,3.38150936399738E-17,4.42133041682247E-83,4.21954802541908E-141,0,0,4.16157720555982E-113,9.5807916679867E-92,1.04466536801241E-119,1.48066123073508E-30
1359.15915915916,7.41312821093608E-07,5.49544698717764E-13,2.23876009308633E-31,5.0120467543959E-62,1.71878719548665E-22,2.95422942336887E-44,1.50006662389372E-109,1.71936766881192E-15,1.5026013675935E-74,2.67408957992089E-127,0,0,1.43859887507149E-99,3.80850557180593E-81,2.71364488735842E-106,1.38417841973368E-27
1419.11911911912,3.43290068172377E-06,1.17848070905796E-11,4.76767007641869E-28,2.27306779575782E-55,2.34705593097105E-20,5.50867154310638E-40,7.12224969637573E-99,5.03625482199495E-14,3.23995129058048E-67,2.28399898089567E-115,1.396693936854453506e-318,0,4.20085502652327E-88,4.00141261333357E-72,7.03672655571756E-95,5.07826177307768E-25
1479.07907907908,1.27525896080785E-05,1.62628541712072E-10,3.37281032952011E-25,1.13758495189176E-49,1.660982723208E-18,2.75886360679546E-36,1.26422849745581E-89,9.35514750353253E-13,7.16561049466978E-61,5.45892695727708E-105,5.20534850698462E-283,0,2.52183645656976E-78,2.15563217809499E-64,4.2224412744311E-85,8.57832014754968E-23
1539.03903903904,4.02189355715373E-05,1.61756277850747E-09,1.05233220664827E-22,1.10740307314922E-44,7.52628194786908E-17,5.664491995882E-33,2.41491816706165E-81,1.30203084080582E-11,3.74202217497638E-55,1.22850866615354E-95,1.7705138759337E-252,0,6.2331694515072E-70,1.0038028313942E-57,1.42015114712447E-76,8.52340803358687E-21
1598.998998999,1.27568174143061E-44,1.62736390541944E-88,3.37840489772867E-220,0,2.21204329263208E-15,4.89313552847855E-30,5.29624555094934E-74,1.35018734860806E-10,4.48714569906209E-50,2.63716558539507E-87,3.95829000656749E-226,0,1.09150199118361E-62,6.05800962878497E-52,3.82552635994434E-69,5.06679813735848E-19
1658.95895895896,3.11176725697327E-41,9.68309546157093E-82,2.91766572447813E-203,0,4.28829426841562E-14,1.83894677325262E-27,1.45018329419904E-67,1.04461224146124E-09,1.24387160648605E-45,5.65235061591989E-80,2.80108867028886E-203,0,2.08603344840097E-56,6.55001812488797E-47,1.11738170066362E-62,1.83941758914129E-17
1718.91891891892,3.40281430322123E-38,1.1579145182207E-75,4.56237782928255E-188,0,5.8435885648895E-13,3.41475273157073E-25,6.81393761026399E-62,6.30972495540595E-09,1.00012006982874E-41,1.70923824598682E-73,2.24915917707677E-183,0,6.1804226219562E-51,1.65492212665515E-42,5.04186484561901E-57,4.39255010984192E-16
1778.87887887888,1.89129442905203E-35,3.57699461736323E-70,2.41989051090698E-174,0,5.8967651200342E-12,3.4771838880852E-23,7.12966536583045E-57,3.08792950922231E-08,2.80761069985639E-38,9.68906386637222E-68,5.82110009606592E-166,0,3.78231202678602E-46,1.2155582027102E-38,4.68667557893967E-52,7.33407180232811E-15
1838.83883883884,5.89996689968655E-33,3.48096094173969E-65,7.14904244802642E-162,4.940656458412465442e-323,4.6000513414027E-11,2.11604723435408E-21,2.05974470200152E-52,1.26236598146271E-07,3.20572609744701E-35,1.30263010701763E-62,1.14635824837917E-150,0,6.05459726402523E-42,3.10914580384945E-35,1.13608790914326E-47,9.00505417069408E-14
