Photon Energy [eV],[oe 3] Transmitivity
1.000000000000000000e+02,0.000000000000000000e+00
1.599599599599599742e+02,0.000000000000000000e+00
2.199199199199199199e+02,0.000000000000000000e+00
2.798798798798798657e+02,0.000000000000000000e+00
3.398398398398398399e+02,0.000000000000000000e+00
3.997997997997998141e+02,0.000000000000000000e+00
4.597597597597597314e+02,0.000000000000000000e+00
5.197197197197197056e+02,0.000000000000000000e+00
5.796796796796796798e+02,4.785424498704719724e-276
6.396396396396396540e+02,5.564720918223110600e-216
6.995995995995996282e+02,2.346675397035747923e-172
7.595595595595596023e+02,7.704196900781373160e-140
8.195195195195194628e+02,3.053740709583619716e-115
8.794794794794794370e+02,3.347221157084193968e-96
9.394394394394394112e+02,1.056890961949371550e-81
9.993993993993993854e+02,2.734792766372171308e-70
1.059359359359359360e+03,2.781652734558046880e-60
1.119319319319319220e+03,3.785769626046152758e-52
1.179279279279279308e+03,1.809796315404519325e-45
1.239239239239239168e+03,6.283176999475999807e-40
1.299199199199199256e+03,2.728341125119974415e-35
1.359159159159159117e+03,2.238760093086327314e-31
1.419119119119119205e+03,4.767670076418691339e-28
1.479079079079079065e+03,3.372810329520109081e-25
1.539039039039038926e+03,1.052332206648269851e-22
1.598998998998999014e+03,3.378404897728668037e-220
1.658958958958958874e+03,2.917665724478125998e-203
1.718918918918918962e+03,4.562377829282548999e-188
1.778878878878878822e+03,2.419890510906984621e-174
1.838838838838838910e+03,7.149042448026417489e-162
1.898798798798798771e+03,1.748431223562034234e-150
1.958758758758758859e+03,4.875080724970899011e-140
2.018718718718718719e+03,2.011066775755882395e-130
2.078678678678678807e+03,1.480515533987635251e-121
2.138638638638638440e+03,2.200701558952075937e-113
2.198598598598598528e+03,7.422551515432877877e-106
2.258558558558558616e+03,6.360524556898790080e-99
2.318518518518518704e+03,1.542578460790547902e-92
2.378478478478478337e+03,1.172330721176710530e-86
2.438438438438438425e+03,3.071112666599915660e-81
2.498398398398398513e+03,3.030166886100592530e-76
2.558358358358358146e+03,1.222236656795098439e-71
2.618318318318318234e+03,2.173454613745231696e-67
2.678278278278278322e+03,1.826263249266104311e-63
2.738238238238238409e+03,7.726427554533482996e-60
2.798198198198198043e+03,1.744296604067548235e-56
2.858158158158158130e+03,2.215746152538286305e-53
2.918118118118118218e+03,1.662211206924014708e-50
2.978078078078077851e+03,7.696045865549713921e-48
3.038038038038037939e+03,2.289849256526965585e-45
3.097997997997998027e+03,4.552882076171355550e-43
3.157957957957958115e+03,6.274813239714662809e-41
3.217917917917917748e+03,6.193038964707739744e-39
3.277877877877877836e+03,4.506224115022913819e-37
3.337837837837837924e+03,2.480871311418057558e-35
3.397797797797798012e+03,1.057745011544101568e-33
3.457757757757757645e+03,3.566281277085800978e-32
3.517717717717717733e+03,9.688884735985072158e-31
3.577677677677677821e+03,2.157352098700122732e-29
3.637637637637637454e+03,3.997742066380794740e-28
3.697597597597597542e+03,6.251504620881487324e-27
3.757557557557557629e+03,8.354140825996765938e-26
3.817517517517517717e+03,9.650295510844574386e-25
3.877477477477477350e+03,9.737134618802194133e-24
3.937437437437437438e+03,8.663759725908572148e-23
3.997397397397397526e+03,6.857141054159532010e-22
4.057357357357357159e+03,4.866144663801850497e-21
4.117317317317317247e+03,3.117955810731350563e-20
4.177277277277276880e+03,1.815469372803991713e-19
4.237237237237237423e+03,9.663391099945031582e-19
4.297197197197197056e+03,4.728162621487515882e-18
4.357157157157157599e+03,2.137500652831602641e-17
4.417117117117117232e+03,8.971024120374658371e-17
4.477077077077076865e+03,3.510956233431721296e-16
4.537037037037037408e+03,1.286614545232579058e-15
4.596996996996997041e+03,4.431798540546222493e-15
4.656956956956956674e+03,1.440042697952075372e-14
4.716916916916917216e+03,4.428789345024249473e-14
4.776876876876876850e+03,1.293190989251063940e-13
4.836836836836836483e+03,3.595609699412816363e-13
4.896796796796797025e+03,9.545443909953883956e-13
4.956756756756756658e+03,2.425706873174658749e-12
5.016716716716716292e+03,5.914705641287353723e-12
5.076676676676676834e+03,1.386929730585748517e-11
5.136636636636636467e+03,3.134176796256040770e-11
5.196596596596597010e+03,6.839163279716909862e-11
5.256556556556556643e+03,1.443777948765560601e-10
5.316516516516516276e+03,2.953739235433003492e-10
5.376476476476476819e+03,5.865799211907441834e-10
5.436436436436436452e+03,1.132480045461005845e-09
